# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,2.93,
1.0,2.87,
2.0,2.88,
3.0,2.9,
4.0,2.89,
5.0,2.89,
6.0,2.89,
7.0,2.94,
8.0,3.71,
9.0,3.92,
10.0,2.91,
11.0,3.25,
12.0,4.57,
13.0,3.09,
14.0,3.09,
15.0,4.14,
16.0,4.14,
17.0,3.13,
18.0,3.73,
19.0,5.08,
20.0,3.1,
21.0,3.26,
22.0,4.59,
23.0,3.09,
24.0,3.09,
25.0,4.05,
26.0,4.13,
27.0,3.13,
28.0,3.67,
29.0,4.76,
30.0,2.85,
31.0,3.01,
32.0,4.31,
33.0,3.09,
34.0,3.08,
35.0,3.98,
36.0,4.13,
37.0,3.13,
38.0,3.57,
39.0,4.87,
40.0,2.82,
41.0,2.87,
42.0,4.21,
43.0,3.61,
44.0,2.97,
45.0,3.77,
46.0,4.12,
47.0,3.17,
48.0,3.48,
49.0,4.81,
50.0,2.82,
51.0,2.83,
52.0,4.11,
53.0,3.91,
54.0,2.88,
55.0,3.61,
56.0,3.93,
57.0,2.92,
58.0,3.34,
59.0,4.7,
60.0,3.0,
61.0,3.02,
62.0,4.27,
63.0,4.12,
64.0,3.13,
65.0,3.88,
66.0,4.15,
67.0,3.12,
68.0,3.42,
69.0,4.76,
70.0,3.11,
71.0,3.1,
72.0,4.27,
73.0,4.14,
74.0,3.12,
75.0,3.79,
76.0,5.12,
77.0,3.17,
78.0,3.33,
79.0,4.64,
80.0,3.22,
81.0,3.15,
82.0,4.09,
83.0,4.17,
84.0,3.18,
85.0,3.64,
86.0,4.99,
87.0,3.16,
88.0,3.36,
89.0,3.37,
90.0,3.47,
91.0,3.44,
92.0,3.44,
93.0,3.52,
94.0,3.74,
95.0,3.73,
96.0,3.79,
97.0,3.67,
98.0,3.98,
99.0,3.97,
100.0,4.03,
101.0,4.0,
102.0,4.3,
103.0,4.41,
104.0,3.97,
105.0,4.0,
106.0,4.01,
107.0,4.25,
108.0,4.3,
109.0,4.31,
110.0,4.43,
111.0,4.57,
112.0,4.21,
113.0,4.4,
114.0,4.5,
115.0,4.56,
116.0,4.4,
117.0,4.27,
118.0,4.13,
119.0,3.43,
120.0,4.8,
121.0,3.24,
122.0,3.2,
123.0,4.45,
124.0,3.7,
125.0,3.28,
126.0,3.99,
127.0,4.35,
128.0,3.32,
129.0,3.8,
130.0,5.12,
131.0,3.21,
132.0,3.26,
133.0,4.6,
134.0,3.07,
135.0,3.06,
136.0,4.1,
137.0,4.09,
138.0,3.09,
139.0,3.82,
140.0,4.11,
141.0,3.09,
142.0,3.45,
143.0,4.86,
144.0,3.07,
145.0,3.12,
146.0,4.45,
147.0,3.35,
148.0,3.07,
149.0,3.62,
150.0,4.9,
151.0,3.06,
152.0,3.1,
153.0,4.46,
154.0,3.08,
155.0,3.04,
156.1,3.95,
157.1,4.09,
158.1,3.05,
159.1,3.63,
160.1,5.03,
161.1,3.09,
162.1,3.27,
163.1,4.59,
164.1,3.08,
165.1,3.07,
166.1,3.97,
167.1,4.12,
168.1,3.12,
169.1,3.67,
170.1,5.07,
171.1,3.08,
172.1,3.29,
173.1,4.65,
174.1,3.1,
175.1,3.13,
176.1,4.15,
177.1,4.15,
178.1,3.14,
179.1,3.76,
180.1,4.15,
181.1,3.15,
182.1,3.46,
183.1,4.8,
184.1,3.49,
185.1,3.42,
186.1,4.53,
187.1,3.9,
188.1,2.92,
189.1,3.62,
190.1,3.96,
191.1,2.92,
192.1,3.25,
193.1,4.59,
194.1,2.89,
195.1,2.88,
196.1,4.11,
197.1,3.9,
198.1,2.87,
199.1,3.08,
200.1,3.15,
201.1,3.13,
202.1,3.13,
203.1,3.21,
204.1,3.45,
205.1,3.47,
206.1,3.53,
207.1,3.52,
208.1,3.8,
209.1,3.61,
210.1,3.69,
211.1,3.7,
212.1,4.0,
213.1,4.13,
214.1,4.13,
215.1,3.69,
216.1,3.75,
217.1,3.91,
218.1,4.03,
219.1,3.96,
220.1,4.15,
221.1,4.27,
222.1,4.28,
223.1,4.06,
224.1,4.23,
225.1,4.27,
226.1,3.58,
227.1,3.89,
228.1,3.75,
229.1,2.89,
230.1,2.93,
231.1,2.93,
