# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,2.74,
1.0,2.79,
2.0,2.84,
3.0,2.84,
4.0,2.85,
5.0,2.85,
6.0,2.84,
7.0,2.84,
8.0,2.86,
9.0,2.89,
10.0,2.9,
11.0,2.91,
12.0,2.9,
13.0,2.91,
14.0,2.9,
15.0,2.92,
16.0,2.92,
17.0,2.94,
18.0,2.96,
19.0,2.98,
20.0,2.98,
21.0,2.99,
22.0,2.99,
23.0,2.99,
24.0,2.99,
25.0,3.02,
26.0,3.02,
27.0,3.03,
28.0,3.02,
29.0,3.01,
30.0,3.0,
31.0,2.91,
32.0,2.89,
33.0,2.88,
34.0,2.88,
35.0,2.92,
36.0,3.01,
37.0,3.04,
38.0,3.28,
39.0,3.03,
40.0,3.08,
41.0,3.16,
42.0,3.3,
43.0,3.18,
44.0,3.32,
45.0,3.28,
46.0,2.72,
47.0,2.73,
48.0,2.74,
49.0,2.83,
50.0,2.9,
51.0,2.91,
52.0,2.91,
