# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,1.65,
1.0,1.78,
2.0,1.79,
3.0,1.87,
4.0,1.9,
5.0,1.9,
6.0,1.9,
7.0,1.92,
8.0,2.08,
9.0,2.15,
10.0,2.2,
11.0,2.21,
12.0,2.41,
13.0,2.62,
14.0,2.67,
15.0,2.23,
16.0,2.23,
17.0,2.24,
18.0,2.24,
19.0,2.25,
20.0,2.59,
21.0,3.86,
22.0,2.53,
23.0,3.13,
24.0,2.43,
25.0,2.43,
26.0,3.87,
27.0,2.5,
28.0,3.18,
29.0,2.44,
30.0,2.75,
31.0,3.12,
32.0,2.33,
33.0,3.78,
34.0,2.4,
35.0,3.1,
36.0,2.41,
37.0,2.7,
38.0,2.36,
39.0,2.41,
40.0,3.16,
41.0,2.33,
42.0,3.65,
43.0,2.4,
44.0,3.02,
45.0,2.42,
46.0,2.58,
47.0,3.16,
48.0,2.39,
49.0,3.81,
50.0,2.43,
51.0,3.09,
52.0,2.41,
53.0,2.69,
54.0,3.19,
55.0,2.37,
56.0,3.85,
57.0,2.48,
58.0,3.23,
59.0,2.43,
60.0,2.81,
61.0,3.22,
62.0,2.45,
63.0,4.0,
64.0,2.46,
65.0,3.33,
66.0,2.45,
67.0,2.9,
68.0,2.47,
69.0,2.57,
70.0,3.24,
71.0,2.45,
72.0,3.83,
73.0,2.52,
74.0,3.19,
75.0,2.48,
76.0,2.58,
77.0,2.74,
78.0,2.75,
79.0,2.75,
80.0,2.84,
81.0,2.99,
82.0,3.01,
83.0,3.05,
84.0,3.26,
85.0,3.2,
86.0,3.24,
87.0,3.2,
88.0,3.56,
89.0,3.57,
90.0,3.2,
91.0,3.18,
92.0,3.45,
93.0,3.35,
94.0,3.56,
95.0,3.69,
96.0,3.37,
97.0,3.58,
98.0,3.69,
99.0,2.93,
100.0,3.53,
101.0,3.4,
102.0,2.77,
103.0,2.76,
104.0,2.75,
