# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,2.92,
1.0,2.89,
2.0,2.98,
3.0,2.97,
4.0,2.96,
5.0,2.96,
6.0,2.96,
7.0,2.97,
8.0,3.85,
9.0,3.05,
10.0,3.9,
11.0,3.09,
12.0,3.69,
13.0,3.06,
14.0,3.32,
15.0,3.79,
16.0,3.02,
17.0,3.87,
18.0,3.07,
19.0,4.03,
20.0,2.99,
21.0,3.59,
22.0,2.98,
23.0,3.31,
24.0,2.96,
25.0,2.96,
26.0,3.72,
27.0,2.99,
28.0,4.12,
29.0,3.0,
30.0,3.61,
31.0,2.97,
32.0,3.13,
33.0,3.8,
34.0,3.03,
35.0,3.77,
36.0,3.01,
37.0,3.9,
38.0,2.97,
39.0,3.45,
40.0,2.93,
41.0,3.0,
42.0,3.68,
43.0,2.92,
44.0,3.62,
45.0,2.93,
46.0,3.29,
47.0,2.92,
48.0,2.9,
49.0,3.66,
50.0,2.9,
51.0,4.09,
52.0,2.92,
53.0,3.65,
54.0,3.0,
55.0,3.36,
56.0,2.93,
57.0,3.01,
58.0,3.79,
59.0,2.96,
60.0,4.39,
61.0,2.89,
62.0,3.15,
63.0,3.2,
64.0,3.19,
65.0,3.17,
66.0,3.32,
67.0,3.42,
68.0,3.47,
69.0,3.49,
70.0,3.6,
71.0,3.6,
72.0,3.62,
73.0,3.84,
74.0,3.95,
75.0,3.59,
76.0,3.63,
77.0,3.65,
78.0,3.88,
79.0,3.86,
80.0,3.99,
81.0,4.1,
82.0,3.85,
83.0,3.98,
84.0,4.1,
85.0,4.02,
86.0,3.9,
87.0,3.26,
88.0,3.29,
89.0,3.28,
