# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,2.92,
1.0,2.84,
2.0,2.86,
3.0,2.85,
4.0,2.87,
5.0,2.87,
6.0,2.87,
7.0,2.9,
8.0,3.24,
9.0,4.1,
10.0,3.85,
11.0,2.9,
12.0,3.21,
13.0,4.15,
14.0,3.77,
15.0,2.82,
16.0,3.13,
17.0,4.28,
18.0,2.81,
19.0,2.83,
20.0,3.29,
21.0,4.53,
22.0,2.92,
23.0,2.93,
24.0,3.62,
25.0,4.89,
26.0,3.07,
27.0,3.03,
28.0,3.86,
29.0,4.05,
30.0,3.09,
31.0,3.03,
32.0,4.06,
33.0,4.05,
34.0,3.16,
35.0,3.27,
36.0,4.12,
37.0,4.17,
38.0,3.14,
39.0,3.19,
40.0,4.28,
41.0,4.06,
42.0,3.09,
43.0,3.31,
44.0,4.41,
45.0,4.05,
46.0,3.09,
47.0,3.34,
48.0,4.51,
49.0,4.06,
50.0,3.08,
51.0,3.47,
52.0,4.61,
53.0,3.08,
54.0,3.09,
55.0,3.65,
56.0,4.87,
57.0,3.02,
58.0,3.07,
59.0,3.78,
60.0,5.04,
61.0,3.08,
62.0,3.1,
63.0,3.9,
64.0,4.1,
65.0,3.08,
66.0,3.05,
67.0,3.97,
68.0,4.08,
69.0,3.09,
70.0,3.1,
71.0,4.07,
72.0,4.09,
73.0,3.1,
74.0,3.08,
75.0,4.04,
76.0,3.87,
77.0,2.87,
78.0,2.91,
79.0,3.9,
80.0,4.09,
81.0,3.08,
82.0,3.21,
83.0,4.27,
84.0,3.87,
85.0,2.87,
86.0,3.07,
87.0,4.13,
88.0,3.86,
89.0,2.89,
90.0,3.05,
91.0,4.13,
92.0,3.87,
93.0,2.87,
94.0,3.09,
95.0,4.2,
96.0,3.87,
97.0,2.88,
98.0,3.17,
99.0,4.33,
100.0,3.5,
101.0,2.87,
102.0,3.1,
103.0,3.07,
104.0,3.18,
105.0,3.15,
106.0,3.15,
107.0,3.22,
108.0,3.43,
109.0,3.43,
110.0,3.51,
111.0,3.5,
112.0,3.76,
113.0,3.64,
114.0,3.65,
115.0,3.7,
116.0,3.53,
117.0,4.03,
118.0,4.08,
119.0,3.58,
120.0,3.67,
121.0,3.7,
122.0,3.93,
123.0,4.01,
124.0,3.98,
125.0,4.16,
126.0,4.28,
127.0,4.29,
128.0,4.03,
129.0,4.14,
130.0,4.28,
131.0,4.26,
132.0,4.15,
133.0,4.02,
134.0,2.78,
135.0,3.25,
136.0,4.51,
137.0,2.76,
138.0,2.8,
139.1,3.42,
140.1,3.79,
141.1,2.76,
142.1,2.74,
143.1,3.65,
144.1,3.75,
145.1,2.74,
146.1,2.89,
147.1,4.05,
148.1,2.71,
149.1,2.73,
150.1,3.18,
151.1,4.59,
152.1,2.72,
153.1,2.72,
154.1,3.55,
155.1,3.75,
156.1,2.75,
157.1,2.85,
158.1,4.0,
159.1,2.93,
160.1,2.73,
161.1,3.15,
162.1,4.62,
163.1,2.73,
164.1,2.72,
165.1,3.43,
166.1,3.76,
167.1,2.77,
168.1,2.72,
169.1,3.73,
170.1,3.81,
171.1,2.77,
172.1,3.01,
173.1,4.34,
174.1,2.79,
175.1,2.76,
176.1,3.26,
177.1,4.71,
178.1,2.76,
179.1,2.77,
180.1,3.6,
181.1,3.8,
182.1,2.82,
183.1,2.87,
184.1,3.99,
185.1,3.79,
186.1,2.82,
187.1,3.17,
188.1,4.51,
189.1,2.8,
190.1,2.76,
191.1,3.32,
192.1,4.79,
193.1,2.81,
194.1,2.81,
195.1,3.67,
196.1,3.85,
197.1,2.87,
198.1,2.9,
199.1,3.86,
200.1,3.82,
201.1,2.86,
202.1,3.2,
203.1,4.56,
204.1,2.79,
205.1,2.79,
206.1,3.5,
207.1,3.83,
208.1,2.82,
209.1,2.83,
210.1,3.82,
211.1,3.88,
212.1,2.9,
213.1,3.02,
214.1,4.13,
215.1,3.85,
216.1,2.89,
217.1,3.32,
218.1,4.65,
219.1,2.82,
220.1,2.81,
221.1,3.47,
222.1,4.86,
223.1,2.86,
224.1,2.96,
225.1,3.08,
226.1,3.12,
227.1,3.12,
228.1,3.1,
229.1,3.16,
230.1,3.21,
231.1,3.46,
232.1,3.48,
233.1,3.54,
234.1,3.56,
235.1,3.65,
236.1,3.65,
237.1,3.71,
238.1,3.73,
239.1,3.99,
240.1,4.12,
241.1,4.12,
242.1,3.66,
243.1,3.72,
244.1,3.73,
245.1,4.02,
246.1,4.01,
247.1,4.05,
248.1,4.15,
249.1,4.28,
250.1,3.88,
251.1,4.08,
252.1,4.17,
253.1,4.26,
254.1,3.65,
255.1,4.21,
256.1,3.75,
257.1,3.0,
258.1,3.01,
259.1,3.0,
260.1,2.99,
