# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,3.25,
1.0,3.25,
2.0,3.25,
3.0,3.25,
4.0,3.25,
5.0,3.25,
6.0,3.25,
7.0,1.22,
8.1,1.33,
9.1,1.4,
10.1,1.87,
11.1,2.17,
12.1,2.28,
13.1,2.07,
14.1,2.01,
15.1,2.08,
16.1,2.08,
17.1,2.14,
18.1,2.4,
19.1,2.38,
20.1,2.2,
21.1,2.29,
22.1,2.31,
23.1,2.36,
24.1,2.65,
25.1,2.83,
26.1,2.53,
27.1,2.46,
28.1,2.55,
29.1,2.54,
30.2,2.85,
31.2,2.92,
32.2,2.65,
33.2,2.69,
34.2,2.76,
35.2,2.77,
36.2,3.08,
37.2,3.07,
38.2,2.99,
39.2,3.08,
40.2,3.11,
41.2,3.21,
42.2,3.28,
43.2,3.29,
44.2,3.38,
45.2,3.42,
46.2,3.61,
47.2,3.35,
48.2,3.42,
49.3,3.55,
50.3,3.61,
51.3,3.68,
52.3,3.61,
53.3,3.68,
54.3,3.57,
55.3,3.11,
56.3,3.11,
57.3,3.11,
58.3,3.11,
59.3,3.11,
60.3,3.11,
61.3,3.11,
