# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,0.89,
1.0,0.89,
2.0,0.89,
3.0,0.89,
4.0,0.89,
5.0,0.89,
6.0,0.89,
7.0,0.89,
8.0,1.21,
9.0,1.3,
10.0,1.31,
11.1,1.86,
12.1,1.63,
13.1,1.32,
14.1,1.32,
15.1,1.32,
16.1,1.32,
17.1,1.32,
18.1,1.37,
19.1,1.39,
20.1,1.41,
21.1,1.42,
22.1,2.65,
23.1,1.96,
24.1,2.92,
25.1,2.02,
26.1,3.09,
27.1,2.08,
28.1,3.32,
29.1,2.08,
30.1,3.6,
31.1,2.13,
32.1,2.89,
33.1,2.34,
34.1,2.93,
35.1,2.7,
36.1,2.23,
37.1,3.02,
38.1,2.29,
39.1,3.24,
40.1,2.34,
41.2,3.55,
42.2,2.41,
43.2,3.89,
44.2,2.46,
45.2,3.25,
46.2,2.8,
47.2,3.28,
48.2,3.15,
49.2,2.61,
50.2,3.46,
51.2,2.57,
52.2,3.9,
53.2,2.7,
54.2,4.18,
55.2,2.72,
56.2,3.55,
57.2,3.02,
58.2,2.92,
59.2,3.52,
60.2,2.86,
61.2,3.98,
62.2,2.98,
63.2,4.32,
64.2,2.93,
65.2,3.73,
66.2,3.12,
67.2,3.31,
68.2,3.34,
69.2,3.48,
70.2,3.6,
71.3,3.63,
72.3,3.73,
73.3,3.78,
74.3,4.13,
75.3,3.77,
76.3,3.83,
77.3,3.88,
78.3,3.98,
79.3,3.99,
80.3,4.21,
81.3,3.71,
82.3,4.23,
83.3,3.84,
84.3,3.32,
85.3,3.32,
86.3,3.32,
