# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,2.95,
1.0,2.81,
2.0,2.84,
3.0,2.9,
4.0,2.95,
5.0,2.89,
6.0,2.89,
7.0,2.91,
8.0,3.22,
9.0,5.03,
10.0,3.33,
11.0,6.12,
12.0,4.22,
13.0,4.94,
14.0,5.54,
15.0,4.01,
16.0,4.84,
17.0,4.74,
18.0,3.53,
19.0,3.38,
20.0,3.44,
21.0,3.93,
22.0,4.94,
23.0,4.77,
24.0,3.71,
25.0,4.75,
26.0,4.86,
27.0,3.7,
28.0,4.73,
29.0,5.06,
30.0,3.73,
31.0,3.18,
32.0,3.28,
33.0,4.12,
34.0,4.76,
35.0,5.63,
36.0,4.12,
37.0,4.82,
38.0,5.92,
39.0,4.2,
40.0,4.81,
41.0,6.06,
42.0,4.55,
43.0,3.19,
44.0,3.09,
45.0,4.75,
46.0,3.53,
47.0,4.74,
48.0,5.03,
49.0,4.0,
50.0,4.81,
51.0,5.42,
52.0,4.13,
53.0,4.75,
54.0,3.26,
55.0,3.31,
56.0,3.32,
57.0,6.36,
58.0,4.55,
59.0,3.5,
60.0,4.85,
61.0,4.76,
62.0,3.73,
63.0,4.74,
64.0,5.46,
65.0,4.15,
66.0,3.21,
67.0,3.1,
68.0,4.46,
69.0,3.68,
70.0,4.92,
71.0,4.78,
72.0,3.93,
73.0,4.83,
74.0,5.66,
75.0,4.26,
76.0,4.88,
77.0,3.56,
78.0,3.56,
79.0,3.44,
80.0,4.9,
81.0,4.74,
82.0,3.74,
83.0,5.03,
84.0,5.47,
85.0,4.36,
86.0,3.34,
87.0,4.79,
88.0,5.09,
89.0,3.25,
90.0,3.14,
91.0,5.08,
92.0,4.14,
93.0,4.84,
94.0,6.02,
95.0,4.36,
96.0,3.69,
97.0,4.91,
98.0,4.85,
99.0,3.73,
100.0,3.21,
101.0,3.37,
102.0,3.93,
103.0,4.97,
104.0,5.48,
105.0,4.3,
106.0,4.93,
107.0,6.1,
108.1,4.51,
109.1,3.47,
110.1,4.91,
111.1,5.18,
112.1,3.22,
113.1,3.14,
114.1,4.86,
115.1,3.8,
116.1,4.84,
117.1,5.36,
118.1,4.12,
119.1,4.86,
120.1,6.11,
121.1,4.55,
122.1,3.35,
123.1,3.09,
124.1,3.3,
125.1,3.63,
126.1,4.95,
127.1,4.93,
128.1,3.88,
129.1,4.9,
130.1,5.31,
