# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,3.0,
1.0,2.95,
2.0,3.01,
3.0,3.0,
4.0,2.99,
5.0,2.99,
6.0,2.99,
7.0,3.01,
8.0,4.17,
9.0,3.16,
10.0,3.24,
11.0,3.97,
12.0,3.15,
13.0,3.65,
14.0,2.95,
15.0,2.94,
16.0,3.81,
17.0,3.02,
18.0,3.51,
19.0,3.11,
20.0,3.07,
21.0,4.03,
22.0,3.02,
23.0,3.21,
24.0,3.86,
25.0,3.11,
26.0,3.81,
27.0,3.07,
28.0,3.09,
29.0,3.79,
30.0,3.06,
31.0,3.3,
32.0,2.97,
33.0,2.93,
34.0,3.82,
35.0,2.94,
36.0,3.05,
37.0,3.76,
38.0,3.02,
39.0,3.55,
40.0,3.03,
41.0,2.97,
42.0,4.03,
43.0,2.97,
44.0,3.18,
45.0,3.7,
46.0,2.96,
47.0,3.56,
48.0,2.86,
49.0,2.93,
50.0,3.83,
51.0,3.08,
52.0,3.48,
53.0,3.0,
54.0,2.96,
55.0,3.88,
56.0,2.97,
57.0,2.99,
58.0,3.7,
59.0,2.94,
60.0,3.47,
61.0,2.92,
62.0,2.92,
63.0,3.93,
64.0,2.97,
65.0,3.11,
66.0,3.72,
67.0,2.96,
68.0,3.51,
69.0,2.98,
70.0,3.14,
71.0,3.17,
72.0,3.24,
73.0,3.26,
74.0,3.26,
75.0,3.27,
76.0,3.43,
77.0,3.47,
78.0,3.48,
79.0,3.7,
80.0,3.56,
81.0,3.64,
82.0,3.66,
83.0,3.91,
84.0,3.99,
85.0,3.61,
86.0,3.7,
87.0,3.76,
88.0,3.89,
89.0,3.86,
90.0,3.96,
91.0,4.07,
92.0,3.8,
93.0,3.96,
94.0,4.07,
95.0,3.36,
96.0,4.12,
97.0,3.74,
98.0,3.03,
99.0,3.03,
100.0,3.01,
