# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,4.58,
1.0,4.5,
2.0,4.61,
3.0,4.62,
4.0,4.62,
5.0,4.63,
6.0,4.65,
7.0,4.79,
8.0,5.29,
9.0,5.32,
10.0,5.64,
11.0,5.36,
12.0,5.27,
13.0,5.77,
14.0,5.33,
15.0,5.29,
16.0,5.26,
17.0,5.3,
18.0,5.44,
19.0,5.17,
20.0,5.19,
21.0,5.53,
22.0,5.18,
23.0,5.16,
24.0,5.62,
25.0,5.33,
26.0,5.1,
27.0,5.37,
28.0,5.36,
29.0,5.37,
30.0,5.17,
31.0,5.16,
32.0,5.54,
33.0,5.2,
34.0,5.2,
35.0,5.6,
36.0,5.31,
37.0,5.14,
38.0,5.4,
39.0,5.43,
40.0,5.47,
41.0,5.04,
42.0,5.03,
43.0,5.44,
44.0,5.3,
45.0,5.12,
46.0,5.0,
47.0,5.01,
48.0,5.26,
49.0,5.43,
50.0,5.08,
51.0,5.5,
52.0,5.26,
53.0,5.13,
54.0,5.15,
55.0,5.37,
56.0,5.09,
57.0,5.11,
58.0,5.16,
59.0,5.31,
60.0,5.44,
61.0,5.13,
62.0,5.54,
63.0,5.34,
64.0,5.11,
65.0,4.98,
66.0,5.53,
67.0,5.19,
68.0,5.14,
69.0,5.34,
70.0,5.32,
71.0,5.35,
72.0,5.07,
73.0,5.1,
74.0,5.69,
75.0,5.16,
76.0,5.12,
77.0,5.77,
78.0,5.13,
79.0,5.17,
80.0,5.27,
81.0,5.24,
82.0,5.3,
83.0,5.09,
84.0,5.09,
85.0,5.68,
86.0,5.16,
87.0,5.1,
88.0,5.38,
89.0,4.99,
90.0,5.11,
91.0,5.17,
92.0,5.05,
93.0,5.55,
94.0,5.13,
95.0,5.05,
96.0,5.48,
97.0,5.18,
98.0,5.09,
99.0,5.09,
100.0,5.34,
101.0,5.29,
102.0,5.08,
103.0,5.06,
104.1,5.72,
105.1,5.22,
106.1,5.26,
107.1,5.52,
108.1,5.36,
109.1,5.13,
110.1,5.1,
111.1,5.28,
112.1,5.31,
113.1,5.06,
114.1,5.02,
115.1,5.46,
116.1,5.25,
117.1,5.12,
118.1,4.98,
119.1,5.47,
120.1,5.03,
121.1,5.13,
122.1,5.3,
123.1,5.49,
124.1,5.12,
125.1,5.08,
126.1,5.78,
127.1,5.21,
128.1,5.12,
129.1,5.52,
130.1,5.12,
131.1,5.22,
132.1,5.32,
133.1,5.31,
134.1,5.42,
135.1,5.1,
136.1,5.1,
137.1,5.5,
138.1,5.19,
139.1,4.97,
140.1,5.49,
141.1,5.12,
142.1,5.2,
143.1,5.21,
144.1,5.28,
145.1,6.02,
146.1,7.38,
147.1,9.92,
148.1,7.71,
149.1,8.0,
150.1,8.96,
151.1,6.14,
152.1,6.2,
153.1,6.27,
154.1,6.64,
155.1,8.17,
156.1,8.07,
157.1,7.49,
158.1,9.48,
159.1,6.16,
160.1,6.28,
161.1,5.94,
162.1,7.3,
163.1,8.04,
164.1,8.83,
165.1,6.85,
166.1,7.9,
167.1,6.15,
168.1,6.27,
169.1,5.93,
170.1,8.04,
171.1,7.34,
172.1,9.35,
173.1,7.45,
174.1,7.91,
175.1,6.15,
176.1,6.28,
177.1,5.95,
178.1,8.12,
179.1,7.54,
180.1,9.21,
181.1,7.11,
182.1,8.04,
183.1,6.15,
184.1,6.32,
185.1,6.0,
186.1,7.49,
187.1,8.0,
188.1,8.31,
189.1,6.53,
190.1,9.46,
191.1,7.59,
192.1,8.16,
193.1,8.7,
194.1,6.91,
195.1,8.17,
196.1,7.96,
197.1,6.57,
198.1,7.92,
199.1,7.92,
200.1,6.54,
201.1,9.54,
202.1,7.9,
203.1,8.17,
204.1,7.92,
205.1,6.42,
206.1,9.46,
207.1,7.62,
208.1,7.95,
209.1,8.91,
210.1,7.05,
211.1,7.93,
212.1,8.49,
213.1,7.02,
214.1,7.94,
215.1,8.2,
216.1,6.79,
217.1,7.92,
218.1,8.02,
219.1,6.74,
220.1,7.93,
221.1,7.92,
222.1,6.44,
223.1,9.46,
224.1,7.8,
225.1,6.43,
226.1,9.59,
227.1,7.64,
228.1,7.95,
229.1,9.39,
230.1,7.35,
231.1,7.95,
232.1,8.93,
233.1,7.29,
234.1,7.93,
235.1,8.64,
236.1,7.03,
237.1,7.95,
238.1,8.42,
239.1,6.75,
240.1,7.94,
241.1,7.96,
242.1,6.74,
243.1,7.93,
244.1,7.92,
245.1,6.36,
246.1,6.16,
247.1,6.27,
248.1,6.27,
249.1,9.3,
250.1,7.48,
251.1,8.55,
252.1,9.8,
253.1,6.68,
254.1,6.81,
255.1,6.35,
256.1,7.17,
257.1,8.36,
258.1,8.36,
259.1,6.85,
260.1,10.03,
261.1,8.03,
262.1,6.71,
263.1,9.84,
264.1,7.9,
265.1,8.34,
266.1,9.54,
267.1,7.75,
268.1,8.7,
269.1,9.28,
270.1,7.46,
