# total_ram_gb=14.6
t,ram_gb,vram_gb
0.0,4.54,1.35
1.7,4.53,1.35
3.3,4.57,1.35
5.4,4.6,0.6
6.9,4.5,0.6
8.5,4.5,0.6
10.0,4.51,0.6
11.6,4.5,0.6
13.2,4.5,0.6
14.8,4.49,0.6
16.5,4.5,0.6
18.1,4.41,0.6
19.6,4.41,0.6
21.1,4.34,0.6
22.7,4.34,0.6
24.3,4.28,0.6
25.9,4.28,0.6
27.6,4.29,0.6
29.1,4.29,0.6
30.7,4.28,0.6
32.2,4.37,0.6
33.9,4.4,0.6
35.5,4.42,0.6
37.1,4.42,0.6
38.6,4.44,0.6
40.1,4.47,0.6
42.2,4.5,0.6
43.9,4.52,0.6
45.7,4.53,0.6
47.5,4.53,0.6
49.2,4.53,0.6
50.9,4.53,0.6
52.5,4.53,0.6
54.2,4.53,0.6
55.9,4.53,0.6
57.5,4.56,0.6
59.5,4.56,0.6
61.5,4.56,0.6
63.1,4.56,0.6
65.1,4.56,0.6
66.7,4.56,0.6
68.8,4.56,0.6
70.4,4.57,0.6
72.3,4.58,0.6
73.9,4.57,0.6
75.6,4.56,0.6
77.4,4.56,0.6
79.0,4.56,0.6
80.6,4.56,0.6
82.3,4.56,0.6
83.9,4.49,0.6
85.5,4.49,0.6
87.0,4.49,0.6
88.6,4.49,0.6
90.2,4.49,0.6
91.8,4.49,0.6
93.3,4.48,0.6
95.0,4.48,0.6
96.6,4.48,0.6
98.2,4.48,0.6
99.7,4.48,0.6
101.4,4.48,0.6
103.0,4.48,0.6
104.6,4.48,0.6
106.2,4.49,0.6
107.9,4.45,0.6
109.6,4.43,0.6
111.2,4.43,0.6
112.9,4.43,0.6
114.5,4.43,0.6
116.1,4.43,0.6
117.7,4.43,0.6
119.3,4.44,0.6
121.0,4.52,0.6
123.1,4.56,0.97
124.9,4.56,1.35
126.6,4.48,1.6
128.4,4.48,3.35
130.1,4.49,1.82
132.0,4.49,2.0
134.0,4.49,3.63
135.8,4.48,3.63
137.6,4.48,3.63
139.4,4.49,3.63
141.1,4.48,3.63
142.6,4.49,1.35
144.4,4.51,1.35
146.3,4.54,1.35
148.3,4.6,1.35
150.4,4.66,1.19
152.6,4.68,0.6
154.3,4.51,0.6
156.0,4.51,0.6
157.6,4.52,0.6
159.3,4.52,0.6
160.8,4.52,0.6
162.5,4.54,0.6
164.4,4.52,0.6
166.0,4.51,0.6
167.6,4.52,0.6
169.3,4.52,0.6
170.8,4.46,0.6
172.4,4.46,0.6
174.0,4.45,0.6
175.6,4.45,0.6
177.3,4.46,0.6
178.9,4.46,0.6
180.5,4.47,0.6
182.0,4.47,0.6
183.6,4.47,0.6
185.2,4.47,0.6
186.8,4.49,0.6
188.5,4.49,0.6
190.1,4.49,0.6
191.7,4.53,0.6
193.6,4.56,0.6
195.3,4.56,0.6
197.1,4.56,0.6
