# total_ram_gb=14.6
t,ram_gb,vram_gb
0.0,3.89,0.6
2.0,3.86,0.6
3.7,3.9,0.6
5.4,3.89,0.6
6.9,3.89,0.6
8.6,3.87,0.6
10.4,3.87,0.6
11.9,3.85,0.6
13.5,3.87,0.6
15.1,3.87,0.6
16.9,3.71,0.6
18.5,3.7,0.6
20.1,3.69,0.6
21.7,3.75,0.6
23.4,3.79,0.6
25.3,3.81,0.6
27.1,3.8,0.6
28.6,3.81,0.6
30.6,3.87,0.6
32.6,3.89,0.6
34.3,3.86,0.6
35.9,3.87,0.6
37.5,3.87,0.6
39.0,3.87,0.6
40.5,3.87,0.6
42.0,3.87,0.6
43.5,3.87,0.6
45.2,3.87,0.6
46.7,3.87,0.6
48.2,3.9,0.6
50.1,3.9,0.6
51.7,3.9,0.6
53.5,3.9,0.6
55.1,3.9,0.6
56.9,3.9,0.6
58.5,3.9,0.6
60.2,3.91,0.6
61.7,3.92,0.6
63.6,3.9,0.6
65.1,3.91,0.6
66.8,3.91,0.6
68.4,3.91,0.6
70.0,3.91,0.6
71.6,3.91,0.6
73.2,3.91,0.6
74.7,3.91,0.6
76.3,3.91,0.6
77.9,3.91,0.6
79.5,3.91,0.6
81.0,3.82,0.6
82.7,3.82,0.6
84.2,3.82,0.6
85.9,3.82,0.6
87.3,3.82,0.6
88.9,3.82,0.6
90.4,3.82,0.6
92.0,3.82,0.6
93.6,3.82,0.6
95.1,3.82,0.6
96.7,3.82,0.6
98.2,3.81,0.6
99.8,3.81,0.6
101.5,3.94,0.6
103.7,4.09,0.6
106.0,4.25,0.6
108.2,4.36,0.6
110.3,4.39,0.6
112.3,4.47,0.6
114.5,4.51,0.6
116.1,4.5,1.25
118.1,4.45,1.35
119.7,4.45,1.66
121.5,4.45,2.69
123.7,4.47,2.69
125.6,4.47,2.69
127.4,4.45,2.69
128.9,4.45,2.69
130.6,4.45,2.69
132.5,4.45,2.69
134.1,4.45,2.69
136.0,4.45,2.69
137.9,4.47,2.69
139.6,4.46,2.69
141.6,4.46,2.69
143.2,4.45,2.69
144.9,4.46,2.69
146.8,4.45,2.69
148.8,4.47,2.22
151.1,4.49,1.35
152.8,4.52,1.35
154.7,4.55,1.35
156.5,4.58,1.35
158.3,4.61,1.35
160.3,4.65,1.35
162.3,4.62,1.35
163.8,4.62,1.35
165.6,4.63,1.35
167.6,4.63,1.35
169.1,4.67,1.35
170.9,4.52,1.35
172.5,4.53,1.35
174.1,4.46,1.35
175.7,4.45,1.35
177.3,4.46,1.35
178.8,4.47,1.35
180.4,4.47,1.35
181.9,4.46,1.35
183.5,4.46,1.35
185.1,4.5,1.35
186.7,4.47,1.35
188.3,4.47,1.35
189.8,4.48,1.35
191.7,4.49,1.35
193.5,4.52,1.35
195.4,4.51,1.35
197.1,4.54,1.35
198.9,4.54,1.35
