# total_ram_gb=14.6
t,ram_gb,vram_gb
0.1,2.26,0.48
1.7,2.26,0.48
3.7,2.32,0.48
5.6,2.35,0.48
7.1,2.35,0.48
9.0,2.36,0.48
10.7,2.37,0.48
12.6,2.38,0.48
14.6,2.4,0.48
16.6,2.41,0.48
18.6,2.42,0.48
20.2,2.43,0.48
21.7,2.42,0.48
23.7,2.5,0.48
25.6,2.53,0.48
27.3,2.55,0.48
29.4,2.62,0.48
31.3,2.66,0.48
33.0,2.66,0.48
34.9,2.69,0.48
36.8,2.68,0.48
38.4,2.68,0.48
40.0,2.69,0.48
41.6,2.68,0.48
43.3,2.68,0.48
44.9,2.68,0.48
46.7,2.68,0.48
48.3,2.69,0.48
50.3,2.72,0.48
52.3,2.73,0.48
54.3,2.75,0.48
56.1,2.76,0.48
58.0,2.76,0.48
59.9,2.76,0.48
61.5,2.76,0.48
63.3,2.76,0.48
64.8,2.76,0.48
66.7,2.76,0.48
68.3,2.76,0.48
70.0,2.76,0.48
71.8,2.7,0.48
73.4,2.7,0.48
74.9,2.7,0.48
76.4,2.7,0.48
78.0,2.7,0.48
79.6,2.7,0.48
81.1,2.7,0.48
82.7,2.7,0.48
84.4,2.71,0.48
86.0,2.71,0.48
87.6,2.71,0.48
89.1,2.71,0.48
90.7,2.7,0.48
92.3,2.7,0.48
93.9,2.7,0.48
95.4,2.7,0.48
97.0,2.69,0.48
98.5,2.69,0.48
100.0,2.69,0.48
101.6,2.7,0.48
103.2,2.7,0.48
104.7,2.7,0.48
106.2,2.72,0.48
107.8,2.71,0.48
109.4,2.71,0.48
110.9,2.71,0.48
112.5,2.71,0.48
114.2,2.72,0.48
115.7,2.71,0.48
117.5,2.69,0.48
119.0,2.69,0.48
120.5,2.69,0.48
122.0,2.7,0.48
123.5,2.69,0.48
125.1,2.71,0.48
126.7,2.69,0.48
128.4,2.71,0.48
130.1,2.69,0.48
131.6,2.69,0.48
133.6,2.69,0.48
135.2,2.69,0.48
137.0,2.7,0.48
138.6,2.7,0.48
140.5,2.71,0.48
142.0,2.7,0.48
143.8,2.72,0.48
145.3,2.69,0.48
146.9,2.71,0.48
148.7,2.63,0.48
150.2,2.63,0.48
151.7,2.63,0.48
153.1,2.63,0.48
154.8,2.64,0.48
156.3,2.63,0.48
157.9,2.65,0.48
159.5,2.64,0.48
161.0,2.65,0.48
162.9,2.64,0.48
164.4,2.64,0.48
166.1,2.64,0.48
167.6,2.64,0.48
169.2,2.64,0.48
170.8,2.63,0.48
172.4,2.64,0.48
174.0,2.64,0.48
175.5,2.64,0.48
177.2,2.65,0.48
178.8,2.64,0.48
180.3,2.65,0.48
182.0,2.64,0.48
183.7,2.65,0.48
185.5,2.64,0.48
187.0,2.64,0.48
188.7,2.63,0.48
190.3,2.63,0.48
191.9,2.65,0.48
193.5,2.63,0.48
195.3,2.65,0.48
196.8,2.63,0.48
198.3,2.64,0.48
200.1,2.63,0.48
201.7,2.63,0.48
203.6,2.63,0.48
205.2,2.63,0.48
206.9,2.64,0.48
208.4,2.63,0.48
210.2,2.65,0.48
211.9,2.63,0.48
213.4,2.64,0.48
215.3,2.63,0.48
216.9,2.63,0.48
218.7,2.63,0.48
220.2,2.63,0.48
221.9,2.64,0.48
223.4,2.63,0.48
224.9,2.64,0.48
226.9,2.63,0.48
228.9,2.64,0.48
230.9,2.64,0.48
232.4,2.64,0.48
234.2,2.64,0.48
235.8,2.63,0.48
237.4,2.65,0.48
239.1,2.63,0.48
240.5,2.64,0.48
242.4,2.63,0.48
243.9,2.63,0.48
245.8,2.63,0.48
247.2,2.63,0.48
249.1,2.64,0.48
250.7,2.64,0.48
252.8,2.64,0.48
254.7,2.65,0.48
256.3,2.66,0.48
257.9,2.66,0.48
259.8,2.67,0.48
261.4,2.67,0.48
263.2,2.69,0.48
265.1,2.69,0.48
266.9,2.69,0.48
269.1,2.69,0.48
270.8,2.7,0.48
272.9,2.7,0.48
274.7,2.7,0.48
276.2,2.7,0.48
278.4,2.7,0.48
280.2,2.71,0.48
281.7,2.71,0.48
283.5,2.71,0.48
284.9,2.7,0.48
286.6,2.71,0.48
288.1,2.7,0.48
289.6,2.72,0.48
291.4,2.71,0.48
292.9,2.7,0.48
294.6,2.7,0.48
296.1,2.7,0.48
297.7,2.7,0.48
299.3,2.7,0.48
300.9,2.71,0.48
302.4,2.71,0.48
304.2,2.72,0.48
306.3,2.72,0.48
308.0,2.72,0.48
310.1,2.74,0.48
312.0,2.75,0.48
313.8,2.76,0.48
315.5,2.76,0.48
317.3,2.76,0.48
319.0,2.76,0.48
320.8,2.78,0.48
322.6,2.77,0.48
324.4,2.8,0.48
326.3,2.8,0.48
328.6,2.81,0.48
330.4,2.81,0.48
332.0,2.81,0.48
334.0,2.82,0.48
335.9,2.82,0.48
337.8,2.82,0.48
339.4,2.82,0.48
341.2,2.83,0.48
342.8,2.83,0.48
344.6,2.84,0.48
346.5,2.82,0.48
348.0,2.82,0.48
350.0,2.82,0.48
351.8,2.82,0.48
354.0,2.83,0.48
355.6,2.83,0.48
357.5,2.84,0.48
359.3,2.83,0.48
361.2,2.84,0.48
362.7,2.83,0.48
364.3,2.83,0.48
366.4,2.83,0.48
367.9,2.83,0.48
369.9,2.83,0.48
371.4,2.83,0.48
373.1,2.83,0.48
374.6,2.83,0.48
376.5,2.83,0.48
378.2,2.83,0.48
380.1,2.85,0.48
382.0,2.83,0.48
383.8,2.84,0.48
385.8,2.83,0.48
387.3,2.83,0.48
389.2,2.83,0.48
390.9,2.83,0.48
392.9,2.83,0.48
394.5,2.82,0.48
396.0,2.83,0.48
397.5,2.82,0.48
399.1,2.83,0.48
401.1,2.82,0.48
402.6,2.83,0.48
404.6,2.83,0.48
406.2,2.83,0.48
408.0,2.83,0.48
409.5,2.83,0.48
411.4,2.84,0.48
413.2,2.83,0.48
414.8,2.84,0.48
416.9,2.83,0.48
418.5,2.83,0.48
420.4,2.83,0.48
421.9,2.83,0.48
423.6,2.84,0.48
425.6,2.83,0.48
427.1,2.83,0.48
428.8,2.83,0.48
430.4,2.83,0.48
432.2,2.85,0.48
433.8,2.83,0.48
435.6,2.84,0.48
437.5,2.83,
