# total_ram_gb=14.6
t,ram_gb,vram_gb
0.0,4.56,0.6
1.8,4.56,0.6
3.7,4.56,0.6
5.6,4.56,0.6
7.3,4.53,0.6
8.9,4.53,0.6
10.4,4.52,0.6
11.9,4.53,0.6
13.5,4.49,0.6
15.1,4.53,0.6
16.7,4.41,0.6
18.3,4.41,0.6
19.9,4.42,0.6
21.6,4.42,0.6
23.2,4.42,0.6
24.9,4.43,0.6
26.6,4.44,0.6
28.2,4.44,0.6
29.7,4.49,0.6
31.4,4.54,0.6
33.4,4.59,0.6
35.4,4.57,0.6
36.9,4.58,0.6
39.0,4.57,0.6
40.6,4.57,0.6
42.1,4.57,0.6
43.6,4.57,0.6
45.2,4.57,0.6
46.8,4.57,0.6
48.4,4.57,0.6
50.1,4.57,0.6
51.8,4.58,0.6
53.6,4.58,0.6
55.6,4.62,0.6
57.5,4.63,0.6
59.6,4.64,0.6
61.2,4.65,0.6
63.0,4.64,0.6
65.0,4.65,0.6
66.6,4.64,0.6
68.6,4.65,0.6
70.3,4.65,0.6
72.2,4.65,0.6
73.7,4.65,0.6
75.8,4.65,0.6
77.4,4.65,0.6
79.0,4.65,0.6
81.1,4.66,0.6
82.9,4.65,0.6
84.9,4.65,0.6
86.6,4.65,0.6
88.7,4.65,0.6
90.3,4.62,0.6
92.0,4.61,0.6
93.6,4.62,0.6
95.4,4.62,0.6
97.2,4.62,0.6
98.9,4.62,0.6
100.5,4.62,0.6
102.0,4.62,0.6
103.5,4.62,0.6
105.1,4.62,0.6
106.7,4.63,0.6
108.5,4.62,0.6
110.2,4.63,0.6
112.1,4.63,0.6
113.7,4.63,0.6
115.5,4.63,0.6
117.0,4.63,0.6
118.8,4.54,0.6
120.5,4.55,0.6
122.1,4.55,0.6
123.7,4.56,0.6
125.2,4.59,0.6
126.8,4.6,0.6
128.4,4.56,0.6
130.0,4.57,0.6
131.7,4.5,0.6
133.2,4.51,0.6
134.6,4.51,0.6
136.1,4.5,0.6
137.7,4.5,0.6
139.3,4.5,0.6
140.8,4.5,0.6
142.3,4.5,0.6
143.8,4.51,0.6
145.4,4.51,0.6
147.2,4.49,0.6
148.8,4.49,0.6
150.5,4.46,0.6
152.2,4.46,0.6
154.0,4.46,0.6
155.7,4.46,0.6
157.3,4.49,0.6
158.9,4.5,0.6
160.6,4.58,0.75
162.6,4.59,1.32
164.2,4.55,1.69
166.0,4.55,1.88
167.6,4.55,2.69
169.2,4.55,5.6
170.8,4.55,8.44
172.8,4.56,8.45
174.7,4.59,8.45
176.9,4.65,8.45
179.0,4.73,8.45
181.3,4.8,8.45
183.5,4.72,8.45
185.3,4.82,8.45
187.7,4.87,8.45
189.8,4.93,8.45
192.1,5.02,8.45
194.0,5.12,8.45
196.0,5.15,8.45
197.8,5.25,8.45
199.9,5.32,8.45
201.5,5.32,8.45
203.5,5.39,8.45
205.6,5.47,8.45
207.3,5.38,8.45
208.8,5.49,8.45
210.8,5.57,8.45
212.9,5.66,8.45
214.6,5.63,8.45
216.3,5.72,8.45
218.2,5.8,8.45
220.1,5.88,8.45
222.0,5.96,8.45
224.0,5.88,8.45
226.0,6.06,8.45
228.0,6.14,8.45
230.0,6.22,8.45
232.2,6.3,8.45
234.3,6.37,8.45
236.4,6.45,8.45
238.4,6.54,8.45
240.3,6.62,8.45
242.3,6.13,8.45
244.6,6.16,8.45
246.6,6.01,8.45
248.1,6.13,8.45
249.7,6.12,8.45
251.2,6.12,8.45
252.9,6.16,8.45
255.0,6.24,8.45
256.6,6.14,8.45
258.1,6.16,8.45
259.7,6.17,8.45
261.2,6.18,8.45
262.7,6.19,8.45
264.3,6.21,8.45
265.9,6.22,8.45
267.5,6.23,8.45
269.3,6.27,8.45
271.1,6.33,8.45
273.1,6.41,8.45
275.1,6.23,8.45
276.8,6.25,8.45
278.5,6.26,8.45
280.0,6.26,8.45
281.6,6.26,8.45
283.1,6.08,8.45
284.7,6.08,8.45
286.3,6.07,8.45
287.9,6.07,8.45
289.5,6.09,8.45
291.1,6.09,8.45
292.6,6.08,8.45
294.1,6.08,8.45
295.6,6.09,8.45
297.3,6.1,8.45
298.9,6.09,8.45
300.5,6.09,8.45
302.0,6.09,8.45
303.6,6.1,8.45
305.3,6.1,6.73
306.9,6.1,3.2
308.5,6.09,1.39
310.0,6.09,1.39
311.5,6.09,1.39
313.0,6.09,1.39
314.7,6.14,1.39
316.2,6.14,1.39
317.8,6.14,1.39
319.5,6.15,1.39
321.1,6.15,1.39
322.7,6.15,1.39
324.4,6.15,1.39
325.9,6.2,1.39
327.5,6.16,1.39
329.1,6.16,1.39
330.6,6.16,1.39
332.2,6.16,1.39
333.8,6.16,1.39
335.4,6.16,1.39
337.0,6.16,1.39
