# total_ram_gb=31.3
t,ram_gb,vram_gb
0.0,4.54,0.45
1.0,4.54,0.45
2.1,4.54,0.45
3.1,4.54,0.45
4.1,4.54,0.45
5.2,4.54,0.45
6.2,1.56,0.11
7.3,2.04,0.11
8.3,2.29,0.22
9.3,2.29,0.22
10.3,2.46,0.22
11.4,2.57,0.22
12.4,2.51,0.22
13.4,3.28,0.22
14.4,4.72,0.22
15.5,3.76,0.22
16.5,4.55,1.07
17.5,5.46,1.38
18.5,6.88,1.38
19.6,7.04,1.38
20.6,5.19,3.76
21.6,5.22,4.48
22.6,5.22,4.79
23.7,5.22,5.13
24.7,5.22,5.48
25.7,5.38,6.07
26.7,5.38,6.51
27.8,5.38,6.35
28.8,5.38,7.35
29.8,5.48,7.29
30.8,5.61,4.29
31.9,5.61,4.63
32.9,5.61,5.04
33.9,5.61,5.32
34.9,5.61,5.76
36.0,5.61,6.38
37.0,5.61,6.32
38.0,5.61,6.88
39.1,5.63,7.35
40.1,5.87,3.76
41.1,5.87,4.38
42.1,5.87,4.79
43.2,5.87,5.13
44.2,5.87,5.7
45.2,5.87,6.13
46.2,5.87,6.42
47.3,5.87,6.67
48.3,5.87,7.04
49.3,6.07,2.07
50.3,6.07,4.29
51.4,6.07,4.63
52.4,6.07,5.04
53.4,6.07,5.32
54.4,6.07,6.04
55.5,6.07,6.2
56.5,6.07,6.57
57.5,6.07,6.63
58.5,6.07,7.2
59.6,6.26,3.76
60.6,6.26,4.38
61.6,6.26,4.79
62.6,6.26,5.13
63.7,6.26,5.7
64.7,6.26,6.13
65.7,6.26,6.17
66.8,6.26,6.67
67.8,6.26,7.04
68.8,6.46,3.76
69.8,6.46,4.29
70.9,6.46,4.63
71.9,6.46,5.04
72.9,6.46,5.32
73.9,6.46,6.04
75.0,6.46,5.6
76.0,6.46,6.57
77.0,6.46,6.63
78.0,6.46,7.2
79.1,6.66,3.76
80.1,6.66,4.38
81.1,6.66,4.79
82.1,6.66,5.13
83.2,6.66,5.7
84.2,6.66,6.13
85.2,6.66,6.17
86.3,6.66,6.67
87.3,6.66,7.04
88.3,6.85,1.92
89.3,6.85,3.45
90.4,6.85,4.23
91.4,6.85,5.1
92.4,6.85,5.23
93.4,6.85,5.73
94.5,7.0,1.51
95.5,7.37,1.57
96.5,7.46,1.82
97.5,7.39,2.01
98.6,7.29,2.01
99.6,7.7,2.07
100.6,7.5,2.07
101.6,7.38,2.07
102.7,7.27,2.07
103.7,7.45,2.07
104.7,7.32,2.07
105.7,7.33,2.07
106.8,7.79,2.07
107.8,8.33,2.07
108.8,8.94,2.07
109.8,9.32,2.07
110.9,8.98,2.07
111.9,9.15,2.07
112.9,6.76,2.07
113.9,6.76,2.07
115.0,6.76,2.07
116.0,6.76,2.07
117.0,6.76,2.07
118.0,6.76,2.07
119.1,6.76,2.07
120.1,6.76,2.07
121.1,6.76,2.07
122.1,6.76,2.07
123.2,6.76,2.07
124.2,6.76,2.07
125.2,6.76,2.07
126.2,6.76,2.07
127.3,6.76,2.07
128.3,6.76,2.07
129.3,6.72,2.07
130.4,6.72,2.07
131.4,6.72,2.07
132.4,6.72,2.07
133.4,6.72,2.07
134.5,6.72,2.07
135.5,6.72,2.07
136.5,6.72,2.07
137.6,6.72,2.07
138.6,6.72,2.07
139.7,6.72,2.07
140.7,6.72,2.07
141.7,6.72,2.07
142.8,6.72,2.07
143.8,6.72,2.07
144.8,7.24,2.07
145.9,8.42,2.07
146.9,8.61,2.07
147.9,5.08,2.07
149.0,6.98,2.07
150.0,7.12,2.07
151.1,7.28,2.07
152.1,7.95,2.07
153.1,6.28,2.07
154.2,6.28,2.07
155.2,6.11,2.07
156.2,6.11,2.07
