# total_ram_gb=14.6
t,ram_gb,vram_gb
0.0,6.73,0.61
1.6,6.73,0.61
3.4,6.7,0.61
5.2,6.71,0.61
6.8,6.79,0.61
8.5,6.74,0.61
10.2,6.75,0.61
11.9,6.82,0.61
13.6,6.7,0.61
15.2,6.56,0.61
16.8,6.57,0.61
18.5,6.58,0.61
20.1,6.57,0.61
21.8,6.63,0.61
23.5,6.66,0.61
25.1,6.66,0.61
26.5,6.69,0.61
28.1,6.66,0.61
29.7,6.68,0.61
31.3,6.73,0.61
32.8,6.73,0.61
34.3,6.73,0.61
35.9,6.73,0.61
37.4,6.73,0.61
39.0,6.73,0.61
40.6,6.74,0.61
42.1,6.77,0.61
43.7,6.78,0.61
45.2,6.79,0.61
46.9,6.79,0.61
48.4,6.79,0.61
49.9,6.79,0.61
51.5,6.79,0.61
53.1,6.79,0.61
54.6,6.79,0.61
56.2,6.79,0.61
57.7,6.79,0.61
59.2,6.79,0.61
60.7,6.8,0.61
62.3,6.72,0.61
63.8,6.72,0.61
65.4,6.72,0.61
66.9,6.72,0.61
68.4,6.72,0.61
69.9,6.72,0.61
71.6,6.73,0.61
73.2,6.73,0.61
74.7,6.74,0.61
76.3,6.74,0.61
77.8,6.73,0.61
79.7,6.73,0.61
81.4,6.73,0.61
83.9,6.73,0.61
86.2,6.72,0.61
88.5,6.72,0.61
90.2,6.71,0.61
91.8,6.71,0.61
93.5,6.72,0.67
95.4,6.72,1.27
96.9,6.72,1.42
98.6,6.72,2.99
100.3,6.72,3.14
101.9,6.72,1.77
103.5,6.73,1.36
105.1,6.73,1.36
106.7,6.73,1.36
108.4,6.73,1.36
110.2,6.73,1.36
112.2,6.73,1.36
113.7,6.73,1.36
115.6,6.73,1.36
117.2,6.73,1.36
118.9,6.73,1.36
120.7,6.74,1.36
122.6,6.74,1.36
124.3,6.74,1.36
125.9,6.74,1.36
127.6,6.69,1.36
129.2,6.7,1.36
130.8,6.7,1.36
132.3,6.71,1.36
133.8,6.71,1.36
135.4,6.72,1.36
136.9,6.73,1.36
138.7,6.74,1.36
140.2,6.74,1.36
142.2,6.78,1.36
144.0,6.73,1.36
145.6,6.74,1.36
