# total_ram_gb=14.6
t,ram_gb,vram_gb
0.0,6.74,1.36
1.7,6.73,1.36
3.4,6.74,1.36
5.0,6.75,0.61
6.5,6.69,0.61
8.2,6.7,0.61
9.8,6.71,0.61
11.5,6.72,0.61
13.2,6.71,0.61
14.8,6.64,0.61
16.3,6.62,0.61
17.9,6.64,0.61
19.3,6.64,0.61
20.9,6.65,0.61
22.6,6.72,0.61
24.2,6.72,0.61
25.7,6.72,0.61
27.3,6.72,0.61
28.8,6.72,0.61
30.3,6.72,0.61
31.9,6.72,0.61
33.5,6.72,0.61
35.0,6.73,0.61
37.0,6.77,0.61
38.6,6.77,0.61
40.5,6.78,0.61
42.3,6.78,0.61
44.3,6.78,0.61
45.9,6.78,0.61
47.9,6.78,0.61
49.5,6.78,0.61
51.1,6.78,0.61
52.9,6.78,0.61
54.5,6.78,0.61
56.1,6.71,0.61
57.7,6.71,0.61
59.2,6.71,0.61
60.8,6.71,0.61
62.3,6.71,0.61
63.9,6.71,0.61
65.5,6.7,0.61
67.0,6.71,0.61
68.5,6.71,0.61
70.1,6.71,0.61
71.6,6.71,0.61
73.2,6.71,0.61
74.7,6.71,0.61
76.2,6.71,0.61
77.9,6.71,0.61
79.5,6.71,0.61
81.1,6.71,0.61
82.7,6.71,0.61
84.3,6.71,0.61
85.9,6.71,0.61
87.5,6.71,0.61
89.0,6.72,0.61
90.6,6.72,0.61
92.2,6.72,0.61
93.8,6.76,0.61
95.7,6.77,0.61
97.3,6.77,0.61
98.8,6.78,0.61
100.4,6.8,0.61
101.9,6.8,0.61
103.4,6.81,0.61
105.2,6.8,0.61
106.8,6.8,0.61
108.6,6.8,0.61
110.3,6.8,0.61
112.3,6.81,0.61
113.9,6.8,0.61
115.7,6.81,0.61
117.5,6.81,0.61
119.3,6.81,0.61
121.2,6.8,0.61
122.7,6.8,0.61
124.5,6.8,0.61
126.1,6.8,0.61
128.1,6.82,0.61
129.8,6.8,0.61
131.3,6.81,0.61
133.3,6.82,0.61
134.9,6.8,0.61
136.4,6.75,0.61
137.9,6.75,0.61
139.5,6.74,0.61
141.0,6.74,0.61
142.6,6.75,0.61
144.2,6.74,0.61
145.7,6.75,0.61
147.4,6.76,0.61
148.9,6.74,0.61
150.5,6.76,0.61
152.4,6.74,0.61
154.0,6.75,0.61
155.5,6.76,0.61
157.2,6.74,0.61
158.8,6.74,0.61
160.6,6.76,0.61
162.3,6.74,0.61
163.8,6.75,0.61
165.5,6.76,0.61
167.3,6.74,0.61
168.8,6.74,0.61
170.7,6.75,0.61
172.2,6.74,0.61
174.0,6.75,0.61
175.9,6.74,0.61
177.5,6.74,0.61
179.0,6.76,0.61
180.9,6.74,0.61
182.4,6.74,0.61
184.0,6.76,0.61
185.8,6.74,0.61
187.3,6.75,0.61
188.8,6.76,0.61
190.5,6.74,0.61
191.9,6.75,0.61
193.6,6.76,0.61
195.3,6.74,0.61
196.8,6.75,0.61
198.4,6.76,0.61
199.8,6.74,0.61
201.5,6.75,0.61
203.4,6.75,0.61
204.9,6.75,0.61
206.5,6.76,0.61
208.1,6.75,0.61
209.6,6.74,0.61
211.2,6.76,0.61
213.0,6.75,0.61
214.5,6.75,0.61
216.3,6.77,0.61
218.0,6.74,0.61
219.4,6.75,0.61
221.0,6.77,0.61
222.7,6.74,0.61
224.2,6.75,0.61
