# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,0.57,
1.0,0.57,
2.0,0.58,
3.1,0.58,
4.2,0.58,
5.3,0.58,
6.4,0.58,
7.5,0.58,
8.6,0.65,
9.7,0.7,
10.8,0.7,
11.9,0.71,
13.0,0.71,
14.1,0.71,
15.1,0.71,
16.2,0.71,
17.3,0.73,
18.5,0.56,
19.8,0.39,
20.9,0.38,
22.0,0.15,
23.2,0.12,
24.4,0.06,
25.6,0.03,
26.6,0.07,
27.9,0.03,
29.0,0.04,
30.1,0.05,
31.2,0.08,
32.3,0.14,
33.5,0.29,
34.5,0.3,
35.6,0.3,
36.7,0.3,
37.9,0.3,
39.0,0.3,
40.0,0.32,
41.5,0.19,
42.7,0.19,
43.9,0.19,
45.0,0.19,
46.2,0.03,
47.4,0.05,
50.8,0.03,
52.3,0.04,
53.4,0.04,
54.5,0.06,
55.6,0.06,
56.7,0.16,
57.9,0.3,
59.0,0.34,
60.0,0.44,
61.2,0.52,
