# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,2.13,
1.0,2.21,
2.1,2.19,
3.2,2.3,
4.3,2.39,
5.4,2.42,
6.5,2.48,
7.6,2.41,
8.7,2.43,
9.8,2.47,
10.9,2.55,
11.9,2.63,
12.9,2.18,
14.0,2.23,
15.1,2.25,
16.2,2.3,
17.3,2.33,
18.5,2.37,
19.5,2.4,
20.7,2.46,
21.8,2.48,
22.9,2.83,
23.9,2.66,
25.1,2.96,
26.1,2.8,
27.2,2.81,
28.3,3.1,
29.3,2.92,
30.5,2.9,
31.5,3.15,
32.5,2.96,
33.5,2.97,
34.5,3.23,
35.5,3.05,
36.7,3.34,
37.8,3.12,
39.0,3.11,
40.1,3.18,
41.1,3.3,
42.1,3.3,
43.2,3.44,
44.3,3.36,
45.3,3.33,
46.4,3.35,
47.5,3.45,
48.7,3.41,
49.8,3.4,
50.9,3.41,
52.1,3.76,
53.1,3.53,
54.2,3.49,
55.2,3.49,
56.3,3.54,
57.3,3.64,
58.4,3.73,
59.4,3.77,
60.4,3.75,
61.5,3.83,
62.5,3.9,
63.6,3.86,
64.7,3.92,
65.7,3.85,
66.8,3.75,
67.9,3.64,
69.0,3.43,
70.1,3.27,
71.2,3.12,
72.3,2.99,
73.4,3.17,
74.4,3.44,
75.5,2.87,
76.7,3.52,
77.8,3.54,
78.9,3.4,
80.1,3.71,
81.1,2.86,
82.2,3.54,
83.3,3.34,
84.4,3.07,
85.6,2.85,
86.7,2.69,
87.8,2.91,
88.8,3.1,
89.9,3.41,
90.9,2.64,
92.1,1.99,
93.1,2.0,
94.1,2.01,
95.3,2.09,
96.4,2.46,
97.4,2.53,
98.5,2.58,
99.6,2.57,
