# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,3.61,
1.2,3.68,
2.3,3.75,
3.3,3.75,
4.5,3.74,
5.5,3.75,
6.6,3.75,
7.6,3.75,
8.6,3.75,
9.6,3.74,
10.8,3.74,
11.9,3.74,
13.0,3.74,
14.2,3.74,
15.3,3.74,
16.4,3.74,
17.6,3.74,
18.6,3.72,
19.7,3.71,
20.7,3.71,
21.8,3.62,
22.8,3.59,
23.8,3.58,
24.8,3.49,
25.9,3.36,
27.1,3.35,
28.1,3.59,
29.2,3.33,
30.3,3.35,
31.4,3.33,
32.6,3.31,
33.7,3.71,
34.7,3.2,
35.8,3.36,
36.9,3.24,
38.0,3.36,
39.1,3.26,
40.2,3.16,
41.2,3.57,
42.2,3.18,
43.2,3.24,
44.3,3.11,
45.4,3.22,
46.6,3.12,
47.6,3.16,
48.7,3.07,
49.8,3.07,
50.8,3.37,
52.0,3.1,
53.0,3.6,
54.1,3.1,
55.2,3.07,
56.3,3.09,
57.4,3.18,
58.4,3.06,
59.4,3.49,
60.6,3.03,
61.7,3.17,
62.7,3.09,
63.8,3.03,
64.8,3.49,
65.8,3.15,
66.9,3.12,
68.0,3.32,
69.1,3.02,
70.2,3.2,
71.3,3.0,
72.3,3.27,
73.3,3.17,
74.3,3.01,
75.5,3.1,
76.5,2.96,
77.6,3.19,
78.6,3.22,
79.7,3.0,
80.9,3.4,
81.9,2.95,
83.0,3.21,
84.2,2.93,
85.3,3.09,
86.4,3.15,
87.5,3.38,
88.6,3.24,
89.7,3.29,
90.7,3.35,
91.9,3.28,
93.0,3.34,
94.1,3.27,
95.1,3.21,
96.1,3.23,
97.2,3.29,
98.4,3.05,
99.4,2.8,
100.5,2.64,
101.7,2.44,
102.9,2.28,
103.9,2.13,
105.0,2.4,
106.2,2.84,
107.2,1.42,
108.3,1.75,
109.4,2.91,
112.1,2.47,
113.3,2.5,
114.4,2.46,
115.5,2.81,
116.5,3.09,
117.6,2.56,
118.7,2.05,
119.7,2.94,
120.9,1.64,
121.9,2.06,
122.9,2.86,
124.1,2.33,
125.2,2.03,
126.4,1.9,
127.5,1.74,
128.7,2.02,
129.7,2.54,
130.8,3.15,
131.9,1.27,
132.9,1.36,
134.1,1.5,
135.2,1.91,
136.3,1.98,
137.3,2.07,
