# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,1.83,
1.1,1.96,
2.2,2.1,
3.3,2.13,
4.4,2.2,
5.4,2.21,
6.5,2.3,
7.6,2.67,
8.7,2.53,
9.7,2.72,
10.8,3.46,
11.9,2.53,
13.1,2.91,
14.1,3.14,
15.1,3.18,
16.1,2.97,
17.1,3.06,
18.2,2.92,
19.2,2.57,
20.3,2.75,
21.4,2.57,
22.4,2.56,
23.5,3.36,
24.6,2.88,
25.7,3.28,
26.8,3.49,
27.9,2.87,
28.9,3.01,
30.0,3.65,
31.1,2.84,
32.1,2.81,
33.3,2.47,
34.4,2.57,
35.6,2.6,
36.6,2.88,
37.6,2.89,
38.6,2.78,
39.7,3.0,
40.8,3.43,
41.9,2.91,
43.1,3.31,
44.1,3.6,
45.1,2.65,
46.3,3.48,
47.4,2.61,
48.5,2.59,
49.5,2.95,
50.7,3.13,
51.7,3.22,
52.7,3.28,
53.7,3.38,
54.8,3.5,
55.9,3.26,
56.9,2.91,
58.0,2.96,
59.0,2.78,
60.0,3.51,
61.0,2.63,
62.0,2.61,
63.1,2.84,
64.2,2.9,
65.3,3.57,
66.4,3.76,
67.5,3.19,
68.6,3.73,
69.7,3.61,
70.7,3.55,
71.8,3.05,
72.8,3.1,
74.0,2.96,
75.1,2.8,
76.2,2.79,
77.3,3.12,
78.4,3.34,
79.4,3.74,
80.5,3.1,
81.7,3.07,
82.7,3.22,
83.9,3.43,
84.9,3.6,
86.0,3.74,
87.0,3.69,
88.1,3.55,
89.2,2.8,
90.3,2.83,
91.3,2.83,
92.3,3.78,
93.4,3.66,
94.4,3.77,
95.4,3.61,
96.4,3.76,
97.6,2.9,
98.6,3.62,
99.7,3.62,
100.9,3.86,
101.9,3.75,
102.9,3.75,
104.0,3.67,
105.1,2.83,
106.2,2.87,
107.2,2.85,
108.2,2.9,
109.3,3.27,
110.3,3.63,
111.3,2.88,
112.4,3.33,
113.6,3.6,
114.7,2.96,
115.7,3.28,
116.7,3.61,
117.8,2.95,
118.8,3.32,
119.8,3.64,
120.9,3.11,
122.1,3.6,
123.1,3.01,
124.2,3.87,
125.3,3.31,
126.4,3.12,
127.4,3.56,
128.4,2.87,
129.6,3.14,
130.7,3.63,
131.8,3.42,
132.8,3.12,
133.9,3.63,
134.9,2.93,
135.9,3.46,
136.9,3.05,
138.1,2.78,
139.2,2.86,
140.3,2.86,
141.4,2.83,
142.4,3.02,
143.6,3.66,
144.6,3.51,
145.6,3.93,
146.7,3.79,
147.7,3.79,
148.8,3.51,
149.8,3.14,
150.8,3.24,
151.8,3.82,
153.0,3.68,
154.0,2.95,
155.1,3.88,
156.2,3.39,
157.3,3.17,
158.3,3.04,
159.4,3.02,
160.5,2.97,
161.6,2.93,
162.7,2.91,
163.8,3.48,
164.8,3.24,
165.9,2.94,
166.9,3.26,
167.9,3.14,
168.9,2.92,
169.9,3.24,
171.1,2.95,
172.2,3.23,
173.3,3.1,
174.3,2.99,
175.3,3.19,
176.5,3.24,
177.6,3.81,
178.7,2.92,
179.7,2.94,
180.8,2.96,
181.8,2.93,
183.0,3.15,
184.0,3.32,
185.1,3.84,
186.2,3.25,
187.3,3.68,
188.4,3.24,
189.5,3.25,
190.5,3.16,
191.7,3.78,
192.8,4.01,
193.8,4.0,
194.9,4.13,
195.9,3.01,
197.0,3.02,
198.1,2.99,
199.1,3.2,
200.1,3.32,
201.1,3.82,
202.1,3.85,
203.1,3.71,
204.1,3.53,
205.2,3.74,
206.4,3.27,
207.4,3.26,
208.6,3.07,
209.6,3.2,
210.7,3.27,
211.9,3.68,
213.0,3.01,
214.1,3.0,
215.2,3.43,
216.3,3.26,
217.5,3.17,
218.6,3.88,
219.6,3.63,
220.7,3.46,
221.8,3.54,
222.8,3.1,
223.8,3.36,
224.9,3.99,
226.0,4.25,
227.2,3.35,
228.3,3.23,
229.3,4.21,
230.4,4.11,
231.5,3.05,
232.7,3.1,
233.7,3.06,
234.8,3.56,
235.9,3.31,
237.1,3.33,
238.2,3.79,
239.2,3.28,
240.2,3.05,
241.4,3.07,
242.4,3.37,
243.4,3.39,
244.4,4.0,
245.6,3.96,
246.6,3.35,
247.7,3.34,
248.7,3.66,
249.9,4.26,
250.9,3.07,
252.1,3.06,
253.1,3.31,
254.2,3.2,
255.2,3.28,
256.2,3.32,
257.2,3.36,
258.3,3.35,
259.4,3.34,
260.6,3.35,
261.6,3.33,
262.7,3.36,
263.8,3.34,
264.9,3.08,
265.9,3.16,
267.0,3.07,
268.1,3.07,
269.1,3.86,
270.2,3.42,
271.3,3.07,
272.3,3.23,
273.5,3.49,
274.6,4.0,
275.7,3.83,
276.8,3.33,
277.8,3.42,
278.8,3.94,
279.9,3.62,
281.0,3.65,
282.1,3.59,
283.1,3.53,
284.2,3.25,
285.2,3.07,
286.3,3.11,
287.3,3.11,
288.3,3.68,
289.4,3.94,
290.4,3.99,
291.5,3.99,
292.6,4.23,
293.8,3.35,
294.9,3.34,
296.1,3.4,
297.1,3.76,
298.1,3.32,
299.2,3.33,
300.2,3.57,
301.3,3.37,
302.4,3.2,
303.4,2.95,
304.4,3.07,
305.5,3.07,
306.5,3.06,
307.6,3.1,
308.6,3.96,
309.7,3.39,
310.8,3.07,
311.8,3.6,
312.8,3.95,
313.9,3.13,
314.9,3.72,
315.9,3.31,
317.1,3.73,
318.1,3.59,
319.1,3.39,
320.2,3.71,
321.3,3.35,
322.4,3.5,
323.5,3.4,
324.5,3.91,
325.6,3.76,
326.7,3.58,
327.8,3.57,
328.9,3.1,
330.1,3.87,
331.1,3.38,
332.2,3.02,
333.3,3.05,
334.3,3.05,
335.4,3.04,
336.4,3.65,
337.4,3.32,
338.4,3.83,
339.5,3.91,
340.6,3.42,
341.7,3.16,
342.8,3.38,
343.8,3.34,
344.9,3.35,
345.9,3.39,
347.0,3.11,
348.2,3.23,
349.3,3.81,
350.3,4.14,
351.4,3.34,
352.4,3.06,
353.4,3.06,
354.4,3.04,
355.6,3.99,
356.7,3.63,
357.8,3.53,
358.9,3.21,
359.9,3.23,
361.1,3.33,
362.1,3.84,
363.2,3.39,
364.2,3.05,
365.3,3.37,
366.3,3.8,
367.4,3.66,
368.6,3.61,
369.7,3.5,
370.7,3.78,
371.7,2.95,
372.8,3.07,
373.9,3.1,
375.0,3.19,
376.1,3.12,
377.2,3.56,
378.2,3.93,
379.3,3.24,
380.4,3.22,
381.4,3.56,
382.6,3.4,
383.7,3.2,
384.7,3.24,
385.7,3.54,
386.7,3.32,
387.8,2.97,
388.8,3.26,
389.9,2.97,
391.0,2.99,
392.0,2.97,
393.1,3.97,
