# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,3.74,
1.1,3.72,
2.1,3.7,
3.2,3.82,
4.2,3.82,
5.3,3.81,
6.5,3.81,
7.6,3.51,
8.7,3.71,
9.8,3.23,
10.9,3.25,
12.0,3.23,
13.0,3.69,
14.1,3.24,
15.2,3.54,
16.3,3.25,
17.3,3.21,
18.4,3.32,
19.6,3.64,
20.7,3.54,
21.8,3.18,
22.8,3.21,
24.0,3.31,
25.0,3.32,
26.1,3.62,
27.1,3.2,
28.2,3.18,
29.3,3.6,
30.4,3.15,
31.4,3.59,
32.6,3.14,
33.7,3.24,
34.8,3.59,
35.8,3.08,
37.0,3.08,
38.1,3.06,
39.1,3.17,
40.1,3.09,
41.2,3.07,
42.2,3.18,
43.3,3.18,
44.5,3.3,
45.5,3.31,
46.6,3.49,
47.6,3.48,
48.6,3.23,
49.8,3.4,
50.9,3.47,
51.9,3.34,
53.0,3.09,
54.0,2.7,
55.2,2.43,
56.4,2.07,
57.5,2.13,
58.6,2.81,
59.7,1.9,
60.8,2.94,
62.0,2.5,
63.0,2.63,
64.0,3.02,
65.1,2.49,
66.2,2.52,
67.3,2.26,
68.3,2.76,
69.4,2.23,
70.5,2.84,
71.6,2.3,
72.7,1.92,
73.8,1.69,
74.9,1.52,
76.1,1.66,
77.1,1.92,
78.2,2.52,
79.4,0.88,
80.5,1.33,
81.5,1.23,
82.6,1.4,
83.7,1.57,
84.7,1.88,
