# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,1.85,
1.1,2.22,
2.3,2.3,
3.4,2.28,
4.5,2.29,
5.5,2.47,
6.6,2.47,
7.6,2.53,
8.6,2.61,
9.7,2.86,
10.8,3.26,
11.8,3.7,
12.8,3.46,
13.9,3.29,
14.9,3.47,
16.0,3.61,
17.0,3.83,
18.0,3.15,
19.2,3.43,
20.2,3.23,
21.2,3.35,
22.3,3.49,
23.3,3.79,
24.3,3.33,
25.3,3.34,
26.4,3.01,
27.5,3.22,
28.6,3.25,
29.6,3.21,
30.6,3.35,
31.6,3.38,
32.8,3.35,
33.9,3.45,
34.9,3.64,
36.0,3.4,
37.2,3.27,
38.3,3.27,
39.3,3.75,
40.4,3.36,
41.4,3.56,
42.5,3.83,
43.7,3.34,
44.7,3.33,
45.7,3.25,
46.8,3.24,
47.8,3.24,
48.9,3.17,
49.9,3.68,
50.9,3.43,
51.9,3.57,
53.0,3.42,
54.0,3.4,
55.1,3.18,
56.2,3.18,
57.3,3.28,
58.4,3.76,
59.5,3.41,
60.5,3.47,
61.5,3.41,
62.5,3.42,
63.5,3.75,
64.6,3.77,
65.6,3.26,
66.6,3.67,
67.7,3.49,
68.8,3.4,
69.9,3.78,
71.1,3.7,
72.2,3.46,
73.3,3.31,
74.5,3.4,
75.5,3.44,
76.7,3.39,
77.7,3.36,
78.7,3.42,
79.8,3.41,
80.8,3.73,
81.8,3.29,
82.8,3.75,
83.9,3.46,
85.0,3.39,
86.0,3.7,
87.0,3.42,
88.1,3.74,
89.1,3.43,
90.1,3.74,
91.1,3.42,
92.1,3.73,
93.3,3.42,
94.3,3.73,
95.4,3.42,
96.5,3.41,
97.5,3.67,
98.6,3.41,
99.7,3.78,
100.8,3.71,
101.9,3.43,
102.9,3.79,
104.0,3.58,
105.1,3.41,
106.2,3.84,
107.3,3.33,
108.4,3.37,
109.5,3.5,
110.6,3.43,
111.6,3.25,
112.8,3.46,
113.9,3.41,
115.0,3.57,
116.0,3.42,
117.2,3.86,
118.3,3.71,
119.3,3.39,
120.4,3.41,
121.5,3.69,
122.5,3.41,
123.7,3.3,
124.7,3.36,
125.8,3.44,
126.8,3.22,
127.9,3.3,
129.0,3.04,
130.1,3.48,
131.1,3.41,
132.1,3.74,
133.2,3.4,
134.3,3.63,
135.4,3.32,
136.6,3.25,
137.6,3.25,
138.7,3.19,
139.8,3.4,
140.9,3.59,
