# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,7.22,
1.0,7.12,
2.0,7.07,
3.0,7.14,
4.0,7.19,
5.0,7.19,
6.0,7.18,
7.0,7.17,
8.0,7.7,
9.0,8.66,
10.0,7.2,
11.0,8.4,
12.0,7.2,
13.0,7.42,
14.0,8.68,
15.0,7.03,
16.0,7.77,
17.0,7.71,
18.0,7.02,
19.0,8.71,
20.0,7.09,
21.0,7.31,
22.1,8.05,
23.1,7.05,
24.1,8.33,
25.1,7.03,
26.1,7.64,
27.1,7.9,
28.1,7.32,
29.1,8.05,
30.1,6.98,
31.1,8.54,
32.1,7.01,
33.1,7.55,
34.1,8.07,
35.1,6.97,
36.1,8.53,
37.1,7.02,
38.1,7.81,
39.1,7.06,
40.1,7.28,
41.1,8.06,
42.1,6.95,
43.1,8.06,
44.1,7.01,
45.1,7.32,
46.1,7.91,
47.1,6.89,
48.1,8.02,
49.1,6.91,
50.1,7.34,
51.1,7.92,
52.1,6.87,
53.1,8.24,
54.1,6.89,
55.1,7.38,
56.1,7.91,
57.1,6.91,
58.1,8.84,
59.1,6.9,
60.1,7.66,
61.1,7.93,
62.1,7.03,
63.1,8.41,
64.1,6.9,
65.1,7.89,
66.1,6.79,
67.1,7.04,
68.1,7.13,
69.1,7.17,
70.1,7.36,
71.1,7.42,
72.1,7.4,
73.1,7.58,
74.1,7.64,
75.1,7.96,
76.1,8.03,
77.1,7.64,
78.1,7.85,
79.1,7.91,
80.1,8.14,
81.1,7.93,
82.1,8.14,
83.1,7.54,
84.1,8.17,
85.1,7.72,
86.1,6.58,
87.1,6.82,
88.1,8.17,
89.1,6.73,
90.1,8.02,
91.1,6.71,
92.1,7.56,
93.1,6.68,
94.1,7.29,
95.1,6.92,
96.1,6.96,
97.1,7.67,
98.1,6.64,
99.1,8.63,
100.1,6.62,
101.1,7.85,
102.1,6.51,
103.1,7.24,
104.1,7.42,
105.1,6.67,
106.1,8.2,
107.1,6.57,
108.1,7.5,
109.1,6.63,
110.1,6.88,
111.1,7.86,
112.1,6.65,
113.1,7.62,
114.1,6.54,
115.1,7.1,
116.1,7.75,
117.1,6.67,
118.1,8.02,
119.1,6.71,
120.1,7.13,
121.1,7.75,
122.1,6.68,
123.1,7.77,
124.1,6.7,
125.1,7.26,
126.1,7.78,
127.1,6.72,
128.1,8.67,
129.1,6.73,
130.1,7.5,
131.1,7.0,
132.2,6.96,
133.2,7.93,
134.2,6.65,
135.2,7.59,
136.2,7.19,
137.2,6.92,
138.2,7.93,
139.2,6.68,
140.2,7.71,
141.2,6.69,
142.2,7.03,
143.2,7.66,
144.2,6.74,
145.2,6.88,
146.2,6.92,
147.2,7.0,
148.2,7.2,
149.2,7.28,
150.2,7.39,
151.2,7.46,
152.2,7.55,
153.2,7.66,
154.2,7.29,
155.2,7.36,
156.2,7.64,
157.2,7.76,
158.2,7.48,
159.2,7.77,
160.2,6.91,
161.2,7.7,
162.2,7.36,
163.2,6.28,
164.2,6.28,
165.2,6.28,
166.2,6.32,
167.2,6.31,
