# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,7.02,
1.0,6.98,
2.0,7.12,
3.0,7.16,
4.0,7.16,
5.0,7.16,
6.0,7.16,
7.0,7.16,
8.0,7.72,
9.0,7.18,
10.0,7.2,
11.0,7.2,
12.0,7.71,
13.0,7.17,
14.0,7.15,
15.0,7.42,
16.0,7.19,
17.0,7.17,
18.0,7.16,
19.0,7.25,
20.0,7.58,
21.0,7.2,
22.0,7.16,
23.0,7.43,
24.0,7.48,
25.0,7.19,
26.0,7.19,
27.0,7.32,
28.0,7.38,
29.0,7.5,
30.0,7.8,
31.0,7.57,
32.0,7.74,
33.0,7.59,
34.0,7.8,
35.0,7.8,
36.0,7.77,
37.0,7.03,
38.0,7.0,
39.0,6.99,
40.0,6.99,
41.0,6.99,
42.0,6.99,
43.0,7.01,
44.0,7.02,
45.0,7.02,
46.0,7.0,
47.0,7.09,
48.0,7.21,
