# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.88,
1.0,4.99,
2.0,5.11,
3.0,5.28,
4.0,5.27,
5.0,5.27,
6.0,5.29,
7.0,5.28,
8.0,5.28,
9.0,5.31,
10.0,5.32,
11.0,5.41,
12.0,5.5,
13.0,5.56,
14.0,5.6,
15.0,5.61,
16.0,5.62,
17.0,6.39,
18.0,7.0,
19.0,6.78,
20.0,6.62,
21.0,6.47,
22.0,6.32,
23.0,6.18,
24.0,6.06,
25.0,6.06,
26.0,6.06,
27.0,6.06,
28.0,6.01,
29.0,5.99,
30.0,5.97,
31.0,5.91,
32.0,5.89,
33.0,5.88,
34.0,5.92,
35.0,6.2,
36.0,6.74,
37.0,6.19,
38.0,6.79,
39.0,6.13,
40.0,6.81,
41.0,6.53,
42.0,6.06,
43.0,7.07,
44.0,6.09,
45.0,6.84,
46.0,6.2,
47.0,6.83,
48.0,6.58,
49.0,6.04,
50.0,6.81,
51.0,6.11,
52.0,7.6,
53.0,6.15,
54.0,6.94,
55.0,6.26,
56.1,7.0,
57.1,6.54,
58.1,6.33,
59.1,6.79,
60.1,6.35,
61.1,7.04,
62.1,6.38,
63.1,7.26,
64.1,6.44,
65.1,7.9,
66.1,6.49,
67.1,7.29,
68.1,6.7,
69.1,7.35,
70.1,6.99,
71.1,6.64,
72.1,7.36,
73.1,6.71,
74.1,7.81,
75.1,6.77,
76.1,7.82,
77.1,6.79,
78.1,7.59,
79.1,6.97,
80.1,7.15,
81.1,7.27,
82.1,7.47,
83.1,7.56,
84.1,7.9,
85.1,7.66,
86.1,7.76,
87.1,8.0,
88.1,7.65,
89.1,7.9,
90.1,7.98,
91.1,8.15,
92.1,8.04,
93.1,8.2,
94.1,7.98,
95.1,7.72,
96.1,6.98,
97.1,7.04,
98.1,7.05,
99.1,7.03,
