# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,6.27,
1.0,6.22,
2.0,6.37,
3.0,6.4,
4.0,6.37,
5.0,6.38,
6.0,6.43,
7.0,6.43,
8.0,6.42,
9.0,6.42,
10.0,6.43,
11.0,6.89,
12.0,6.54,
13.0,7.43,
14.0,6.52,
15.0,7.35,
16.0,6.55,
17.0,6.55,
18.0,7.11,
19.0,6.57,
20.0,7.3,
21.0,6.72,
22.0,6.51,
23.0,7.24,
24.0,6.48,
25.0,7.28,
26.0,6.67,
27.0,6.45,
28.0,7.14,
29.0,6.5,
30.0,7.24,
31.0,6.48,
32.0,6.42,
33.0,6.93,
34.0,6.38,
35.0,7.74,
36.0,6.39,
37.0,6.41,
38.0,7.09,
39.0,6.44,
40.0,7.31,
41.0,6.48,
42.0,6.38,
43.0,6.99,
44.0,6.38,
45.0,7.45,
46.0,6.48,
47.0,6.4,
48.0,6.97,
49.0,6.42,
50.0,7.86,
51.0,6.55,
52.0,6.64,
53.0,6.7,
54.0,6.88,
55.0,6.91,
56.0,7.03,
57.0,7.1,
58.0,7.5,
59.0,7.01,
60.0,7.1,
61.0,7.35,
62.0,7.48,
63.0,7.27,
64.0,7.5,
65.0,6.94,
66.0,7.28,
67.0,6.25,
68.0,6.25,
69.0,6.25,
