# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,1.97,
1.0,1.97,
2.0,1.96,
3.0,1.96,
4.0,1.96,
5.0,1.96,
6.0,1.96,
7.0,1.96,
8.0,1.98,
9.0,1.98,
10.0,1.98,
11.1,1.98,
12.1,1.98,
13.1,1.98,
14.1,2.74,
15.1,3.13,
16.1,2.14,
17.1,2.87,
18.1,3.13,
19.1,2.13,
20.1,3.12,
21.1,3.13,
22.1,2.09,
23.1,3.64,
24.1,2.1,
25.1,2.34,
26.1,3.9,
27.1,2.12,
28.1,2.34,
29.1,3.98,
30.1,2.11,
31.2,2.46,
32.2,3.83,
33.2,2.03,
34.2,2.33,
35.2,4.01,
36.2,2.11,
37.2,2.49,
38.2,3.76,
39.2,2.12,
40.2,2.63,
41.2,3.14,
42.2,2.12,
43.2,2.82,
44.2,3.16,
45.2,2.14,
46.2,3.01,
47.2,2.62,
48.2,2.12,
49.2,3.38,
50.2,2.19,
51.3,2.14,
52.3,3.66,
53.3,2.14,
54.3,2.39,
55.3,4.12,
56.3,2.16,
57.3,2.55,
58.3,3.44,
59.3,2.16,
60.3,2.96,
61.3,3.23,
62.3,2.08,
63.3,3.07,
64.3,3.22,
65.3,2.15,
66.3,3.2,
67.3,3.17,
68.3,2.14,
69.3,3.2,
70.3,3.21,
71.3,2.18,
72.4,3.25,
73.4,3.26,
74.4,2.17,
75.4,3.13,
76.4,3.24,
77.4,2.18,
78.4,3.12,
79.4,3.26,
80.4,2.17,
81.4,3.08,
82.4,3.24,
83.4,2.22,
84.4,2.42,
85.4,2.48,
86.4,2.49,
87.4,2.57,
88.4,2.76,
89.4,2.8,
90.4,2.83,
91.4,3.06,
92.4,2.98,
93.5,2.99,
94.5,3.01,
95.5,3.36,
96.5,3.36,
97.5,2.95,
98.5,2.94,
99.5,3.24,
100.5,3.15,
101.5,3.36,
102.5,3.49,
103.5,3.21,
104.5,3.37,
105.5,3.49,
106.5,2.97,
107.5,3.11,
108.5,3.0,
109.5,2.0,
110.5,3.75,
111.5,2.03,
112.5,2.51,
113.5,3.03,
114.5,2.05,
115.5,2.77,
116.5,3.04,
117.6,2.0,
118.6,3.18,
119.6,2.03,
120.6,2.26,
121.6,3.8,
122.6,2.06,
123.6,2.64,
124.6,3.04,
125.6,2.0,
126.6,3.37,
127.6,2.03,
128.6,2.38,
129.6,3.02,
130.6,2.04,
131.6,3.0,
132.6,2.06,
133.7,2.03,
134.7,3.39,
135.7,2.01,
136.7,2.41,
137.7,3.06,
138.7,2.04,
139.7,2.75,
140.7,3.04,
141.7,2.01,
142.7,3.07,
143.7,2.09,
144.7,2.03,
145.7,3.25,
146.7,1.94,
147.7,2.16,
148.7,3.79,
149.8,2.03,
150.8,2.39,
151.8,3.83,
152.8,2.02,
153.8,2.64,
154.8,3.08,
155.8,2.06,
156.8,2.79,
157.8,3.06,
158.8,2.03,
159.8,2.82,
160.8,3.07,
161.8,1.97,
162.8,2.94,
163.8,3.06,
164.8,2.03,
165.8,3.05,
166.8,3.1,
167.8,2.0,
168.8,3.06,
169.8,3.07,
170.8,2.01,
171.9,3.0,
172.9,3.08,
173.9,2.06,
174.9,2.82,
175.9,3.05,
176.9,2.03,
177.9,2.2,
178.9,2.31,
179.9,2.3,
180.9,2.45,
181.9,2.56,
182.9,2.6,
183.9,2.63,
184.9,3.02,
185.9,2.79,
187.0,2.84,
188.0,2.76,
189.0,3.2,
190.0,2.71,
191.0,2.83,
192.0,2.84,
193.0,3.1,
194.0,3.03,
195.0,3.23,
196.0,3.35,
197.0,3.12,
198.0,3.3,
199.0,2.7,
200.0,3.15,
201.0,3.01,
202.0,1.84,
203.0,1.7,
204.0,1.7,
205.0,1.67,
206.0,1.68,
207.0,1.67,
208.0,1.8,
209.1,1.8,
210.1,1.8,
