# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,5.8,
1.0,4.31,
2.0,4.49,
3.0,4.52,
4.0,4.52,
5.0,4.49,
6.0,4.49,
7.0,5.09,
8.0,4.9,
9.0,4.7,
10.0,4.74,
11.0,4.94,
12.0,5.1,
13.0,4.94,
14.0,4.93,
15.0,5.2,
16.0,5.32,
17.1,5.14,
18.1,5.18,
19.1,5.4,
20.1,5.85,
21.1,5.36,
22.1,5.46,
23.1,5.49,
24.1,5.75,
25.1,5.88,
26.1,5.65,
27.1,5.89,
28.1,5.99,
29.1,6.14,
30.1,6.21,
31.1,6.21,
32.1,6.38,
33.1,6.22,
34.1,6.39,
35.2,6.37,
36.2,6.12,
37.2,6.24,
38.2,5.71,
39.2,5.73,
40.2,5.76,
41.2,5.74,
42.2,4.46,
43.2,4.56,
44.2,4.53,
