# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,0.52,
1.0,0.52,
2.0,0.53,
3.0,0.53,
4.0,0.53,
5.0,0.53,
6.0,0.53,
7.1,0.53,
8.1,0.53,
9.1,0.53,
10.1,0.57,
11.1,0.61,
12.1,0.72,
13.1,0.75,
14.1,0.76,
15.1,0.76,
17.2,0.77,
18.2,0.79,
19.2,0.8,
20.2,0.8,
21.2,0.8,
22.2,0.81,
23.2,1.27,
24.3,1.45,
25.3,1.5,
26.3,0.91,
27.3,0.83,
28.3,0.85,
29.3,0.86,
30.3,0.87,
31.3,0.88,
32.3,0.89,
33.3,0.9,
34.3,0.91,
35.3,1.04,
36.3,2.54,
37.3,1.13,
38.3,2.59,
39.3,1.14,
40.3,2.34,
41.3,1.19,
42.3,2.22,
43.3,1.24,
44.4,2.0,
45.4,1.28,
46.4,2.76,
47.4,1.36,
48.4,2.46,
49.4,1.4,
50.4,2.9,
51.4,1.45,
52.4,2.65,
53.4,1.5,
54.4,2.33,
55.4,1.52,
56.4,2.22,
57.4,1.58,
58.4,2.16,
59.4,1.61,
60.4,2.06,
61.4,1.66,
62.4,2.11,
63.4,1.72,
64.4,2.16,
65.4,1.77,
66.4,2.18,
67.5,1.73,
68.5,2.26,
69.5,1.91,
70.5,2.2,
71.5,1.94,
72.5,2.35,
73.5,1.99,
74.5,2.28,
75.5,2.76,
76.5,2.08,
77.5,2.83,
78.5,2.07,
79.5,3.51,
80.5,2.13,
81.5,2.82,
82.5,2.18,
83.6,2.37,
84.6,2.94,
85.6,2.16,
86.6,2.47,
87.6,2.51,
88.6,2.62,
89.6,2.67,
90.6,2.83,
91.6,2.86,
92.6,2.92,
93.6,2.93,
94.6,3.05,
95.6,3.1,
96.6,3.37,
97.7,2.96,
98.7,3.02,
99.7,3.3,
100.7,3.29,
101.7,3.38,
102.7,3.52,
103.7,3.4,
104.7,3.52,
105.7,2.86,
106.8,3.29,
107.8,2.95,
108.8,2.22,
109.8,2.26,
110.8,2.26,
111.8,2.26,
