# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,5.87,
1.0,4.28,
2.0,4.46,
3.0,4.49,
4.0,4.55,
5.0,4.61,
6.0,4.59,
7.0,4.63,
8.0,4.83,
9.1,5.45,
10.1,6.77,
11.1,6.58,
12.1,5.52,
13.1,7.19,
14.1,6.48,
15.1,5.85,
16.1,7.9,
17.1,4.89,
18.1,6.27,
19.1,6.49,
20.1,5.38,
21.1,6.87,
22.1,6.49,
23.1,5.63,
24.1,7.42,
25.1,5.54,
26.1,6.28,
27.1,4.85,
28.1,4.98,
29.2,4.78,
30.2,5.81,
31.2,7.34,
32.2,5.4,
33.2,7.37,
34.2,5.0,
35.2,6.51,
36.2,6.44,
37.2,6.22,
38.2,6.47,
39.2,5.69,
40.2,8.0,
41.2,5.22,
42.2,6.78,
43.2,6.48,
44.2,6.05,
45.2,4.72,
46.2,4.95,
47.2,4.81,
48.2,6.07,
49.2,6.56,
50.2,5.5,
51.2,7.51,
52.2,5.0,
53.2,6.43,
54.2,6.44,
55.2,5.82,
56.2,6.85,
57.2,5.37,
58.3,7.44,
59.3,4.95,
60.3,6.06,
61.3,6.27,
62.3,5.46,
63.3,4.67,
64.3,4.71,
65.3,4.6,
66.3,5.63,
67.3,7.91,
68.3,5.02,
69.3,6.66,
70.3,5.52,
71.3,6.06,
72.3,6.29,
73.3,5.55,
74.3,7.87,
75.4,5.04,
76.4,6.74,
77.4,5.14,
78.4,6.09,
79.4,6.31,
80.4,5.49,
81.4,4.7,
82.4,4.75,
83.4,4.62,
84.4,5.67,
85.4,7.7,
86.4,4.85,
87.4,6.31,
88.4,6.06,
89.4,5.93,
90.4,6.16,
91.4,5.53,
92.4,7.73,
93.4,5.09,
94.5,7.04,
95.5,4.56,
96.5,6.11,
97.5,6.09,
98.5,5.67,
99.5,4.48,
100.5,4.54,
101.5,4.4,
102.5,5.64,
103.5,6.62,
104.5,4.98,
105.5,6.08,
106.5,6.05,
107.5,5.18,
108.5,7.04,
109.5,4.58,
110.5,6.13,
111.5,6.05,
112.5,5.64,
113.5,6.05,
114.5,5.06,
115.5,7.23,
116.5,4.53,
117.5,6.23,
118.5,4.47,
119.5,4.54,
120.5,4.42,
121.5,5.98,
122.5,6.07,
123.5,5.44,
124.5,7.61,
125.5,4.95,
126.5,6.8,
127.5,4.44,
128.5,6.04,
129.5,5.87,
130.5,5.05,
131.5,7.18,
132.5,4.48,
133.6,6.12,
134.6,5.61,
135.6,5.66,
136.6,4.22,
137.6,4.29,
138.6,4.14,
139.6,5.6,
140.6,6.05,
141.6,4.56,
142.6,5.8,
143.6,5.81,
144.6,4.98,
145.6,7.36,
146.6,4.56,
147.6,6.39,
148.6,4.78,
149.6,5.59,
150.6,5.79,
151.6,5.11,
152.6,7.18,
153.6,4.53,
154.6,5.17,
155.7,4.18,
156.7,4.26,
157.7,4.32,
158.7,5.67,
159.7,5.88,
160.7,5.04,
161.7,7.31,
162.7,4.64,
163.7,6.26,
164.7,5.45,
165.7,5.64,
166.7,5.89,
167.7,5.17,
168.7,7.54,
169.7,4.71,
170.7,6.53,
171.7,5.91,
172.7,5.19,
173.7,4.3,
174.7,4.22,
175.7,4.26,
176.7,4.66,
177.7,6.19,
178.7,5.84,
179.8,5.6,
180.8,5.91,
181.8,5.22,
182.8,6.69,
183.8,4.85,
184.8,6.78,
185.8,5.7,
186.8,5.05,
187.8,6.9,
188.8,4.45,
189.8,5.48,
190.8,5.69,
191.8,4.94,
192.8,4.12,
193.8,4.07,
194.8,3.98,
195.8,5.33,
196.8,5.75,
197.8,4.91,
198.8,7.4,
199.8,4.74,
200.8,6.81,
201.8,4.49,
202.8,6.18,
203.8,4.34,
204.9,5.76,
205.9,5.78,
206.9,5.5,
207.9,5.79,
208.9,5.06,
209.9,4.19,
210.9,4.16,
211.9,3.96,
212.9,5.29,
213.9,5.74,
214.9,4.95,
215.9,7.11,
216.9,4.23,
217.9,5.52,
218.9,5.74,
219.9,4.66,
220.9,6.07,
221.9,5.75,
222.9,5.17,
223.9,7.3,
224.9,4.38,
225.9,5.74,
227.0,5.87,
