# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,5.95,
1.0,5.91,
2.0,5.91,
3.0,6.01,
4.0,6.03,
5.0,6.09,
6.0,6.1,
7.0,6.1,
8.0,6.21,
9.0,6.98,
10.0,6.37,
11.0,6.97,
12.0,6.47,
13.1,7.69,
14.1,6.82,
15.1,6.32,
16.1,7.26,
17.1,6.13,
18.1,6.93,
19.1,6.28,
20.1,6.92,
21.1,6.69,
22.1,6.14,
23.1,7.12,
24.1,6.16,
25.1,7.35,
26.1,6.16,
27.1,7.65,
28.1,6.15,
29.1,7.0,
30.1,6.21,
31.1,7.02,
32.1,6.21,
33.1,6.98,
34.1,6.39,
35.1,7.01,
36.1,6.56,
37.1,6.71,
38.2,6.72,
39.2,6.28,
40.2,6.75,
41.2,6.45,
42.2,6.79,
43.2,6.36,
44.2,6.93,
45.2,6.36,
46.2,7.05,
47.2,6.35,
48.2,7.34,
49.2,6.41,
50.2,7.65,
51.2,6.4,
52.2,7.94,
53.2,6.37,
54.2,7.24,
55.2,6.48,
56.2,6.59,
57.3,6.64,
58.3,6.71,
59.3,6.87,
60.3,6.95,
61.3,7.29,
62.3,7.03,
63.3,7.1,
64.3,7.39,
65.3,7.02,
66.3,7.16,
67.3,7.36,
68.3,7.59,
69.3,7.58,
70.3,7.46,
71.3,7.3,
72.3,7.52,
73.3,7.49,
74.3,7.11,
75.3,6.28,
76.3,6.31,
77.3,6.31,
