# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,7.18,
1.0,5.64,
2.0,5.9,
3.0,5.91,
4.0,5.89,
5.0,5.88,
6.0,5.95,
7.0,6.05,
8.0,6.26,
9.0,6.41,
10.0,6.46,
11.0,6.87,
12.0,7.36,
13.0,8.87,
14.1,10.0,
15.1,8.93,
16.1,8.31,
17.1,10.09,
18.2,8.93,
19.2,7.6,
20.2,9.27,
21.2,8.84,
22.2,6.71,
23.2,7.01,
24.2,7.12,
25.2,6.96,
26.2,6.8,
27.2,8.43,
28.2,10.63,
29.2,7.87,
30.2,8.61,
31.2,10.55,
32.2,8.59,
33.2,8.4,
34.2,8.93,
35.3,6.89,
36.3,6.9,
37.3,7.01,
38.3,7.02,
39.3,6.69,
40.3,8.1,
41.3,10.13,
42.3,7.06,
43.3,8.64,
44.3,8.88,
45.3,7.58,
46.3,9.36,
47.3,8.76,
48.4,6.9,
49.4,6.9,
50.4,7.02,
51.4,6.68,
52.4,7.18,
53.4,8.64,
54.4,8.81,
55.4,7.57,
56.4,9.95,
57.4,7.13,
58.4,8.99,
59.4,8.59,
60.4,6.72,
61.4,6.86,
62.4,6.49,
63.4,6.66,
64.4,7.78,
65.4,10.24,
66.4,7.13,
67.4,9.17,
68.4,8.09,
69.4,8.36,
70.4,8.3,
71.5,6.45,
72.5,6.56,
73.5,6.57,
74.5,6.23,
75.5,7.35,
76.5,9.75,
77.5,8.25,
78.5,7.75,
79.5,10.03,
80.5,6.77,
81.5,8.25,
82.5,8.13,
83.5,6.92,
84.5,8.64,
85.5,8.08,
86.5,7.3,
87.5,9.28,
88.5,7.51,
89.5,7.74,
90.5,9.61,
91.5,6.25,
92.5,7.82,
93.5,8.28,
94.5,6.48,
95.5,7.94,
96.5,7.64,
97.5,6.74,
98.5,8.5,
99.6,7.67,
100.6,7.06,
101.6,8.88,
102.6,6.36,
103.6,7.29,
104.6,7.99,
105.6,6.28,
106.6,7.78,
107.6,7.47,
108.6,6.64,
109.6,9.18,
110.6,6.09,
111.6,8.29,
112.6,5.79,
113.6,7.29,
114.6,7.14,
