# total_ram_gb=30.0
t,ram_gb,vram_gb
0.0,19.8,0.93
1.3,19.78,0.85
2.6,19.8,0.85
3.9,19.76,0.73
5.2,19.83,0.8
6.4,19.79,0.84
7.6,19.73,0.84
8.9,19.79,0.92
10.1,19.79,0.91
11.4,19.79,0.92
12.6,19.8,0.93
13.9,19.81,0.92
15.1,19.81,0.92
16.4,20.1,0.91
17.6,20.41,0.91
18.8,20.71,0.91
20.1,21.01,0.91
21.3,21.28,0.9
22.5,21.61,0.84
23.8,21.88,0.84
25.0,20.46,0.87
26.3,19.83,1.59
27.5,19.67,1.75
28.8,19.74,3.78
30.0,19.72,2.06
31.3,19.77,3.78
32.6,19.74,3.78
33.9,19.74,3.79
35.1,19.76,1.61
36.4,19.77,1.61
37.6,19.81,1.69
38.8,19.82,1.66
