# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,0.93,
1.0,0.93,
2.0,0.93,
3.0,0.93,
4.1,0.93,
5.1,0.93,
6.1,0.93,
7.1,0.93,
8.1,0.93,
9.1,1.01,
10.1,1.19,
11.1,1.38,
12.2,1.44,
13.2,1.46,
14.2,1.48,
15.2,1.48,
16.2,1.48,
17.2,1.48,
18.2,1.48,
19.3,1.48,
20.3,1.48,
21.3,1.48,
22.3,1.48,
23.3,1.48,
24.3,1.48,
25.3,1.48,
26.3,1.48,
27.3,1.48,
28.3,1.48,
29.4,1.48,
30.4,1.48,
31.4,1.57,
32.4,1.6,
33.4,1.63,
34.4,1.64,
35.4,1.74,
36.5,1.86,
37.5,1.85,
38.5,1.84,
39.5,1.96,
40.5,2.09,
41.5,2.2,
42.5,2.26,
43.6,2.38,
44.6,2.25,
45.6,2.05,
46.6,2.17,
47.6,2.1,
48.6,1.66,
49.7,1.68,
50.7,1.7,
51.7,1.71,
52.7,1.72,
53.7,1.73,
54.7,1.75,
55.7,1.76,
56.7,2.04,
57.8,2.1,
58.8,2.27,
59.8,2.68,
60.8,2.69,
61.8,2.69,
62.8,2.69,
