# total_ram_gb=30.0
t,ram_gb,vram_gb
0.0,19.79,1.66
1.3,20.45,1.57
2.5,20.12,0.82
3.8,19.61,0.73
5.1,19.61,0.77
6.3,19.71,0.84
7.5,19.72,0.84
8.8,19.73,0.88
10.0,19.73,0.92
11.3,19.76,0.92
12.5,19.77,0.93
13.8,19.77,0.93
15.0,19.82,0.89
16.3,19.96,0.88
17.5,20.28,0.89
18.8,20.59,0.88
20.0,20.9,0.88
21.3,21.15,0.87
22.5,21.43,0.86
23.8,21.77,0.86
25.0,22.04,0.86
26.3,20.45,1.08
27.5,19.78,1.61
28.8,19.84,2.17
31.3,19.77,6.42
32.6,19.89,8.61
33.8,19.88,8.65
35.2,20.3,8.65
36.5,20.51,8.65
37.8,20.51,8.65
39.0,20.79,8.65
40.3,21.1,8.64
41.5,21.19,8.65
42.8,21.43,8.64
44.1,21.49,8.64
45.3,21.87,8.64
46.5,22.01,8.64
47.8,21.84,8.64
49.0,22.41,8.64
50.3,22.79,8.64
51.6,21.76,8.64
52.8,21.7,8.64
54.1,21.7,8.64
55.3,21.71,8.64
56.6,21.74,8.64
57.8,21.76,8.65
59.1,21.74,8.64
60.3,21.76,8.65
61.6,21.78,8.64
62.8,21.79,8.65
64.1,21.81,8.64
65.4,21.82,8.64
66.6,21.81,8.64
67.9,21.49,8.64
69.2,21.4,8.64
70.4,21.41,8.64
71.7,21.41,8.64
72.9,21.41,8.58
74.2,21.45,8.58
75.5,21.44,5.65
76.8,21.82,1.61
78.0,22.32,0.86
79.3,21.79,0.86
80.5,21.39,0.86
81.8,21.4,0.86
83.0,21.39,0.86
84.3,21.39,0.86
85.6,21.32,0.86
86.8,21.33,0.85
88.1,21.33,0.85
89.3,21.33,0.85
90.5,21.33,0.85
91.8,21.34,0.85
93.0,21.34,0.85
94.3,21.34,0.85
95.5,21.34,0.85
96.8,21.34,0.85
98.0,21.34,0.85
99.3,21.35,0.85
100.6,21.35,0.85
101.8,21.35,0.85
103.0,21.36,0.85
104.3,21.36,0.85
105.5,21.37,0.85
106.7,21.36,0.85
108.0,21.37,0.85
109.2,21.37,0.85
110.5,21.37,0.85
111.7,21.38,0.85
113.0,21.38,0.85
114.2,21.38,0.85
115.4,21.38,0.85
116.7,21.38,0.85
117.9,21.38,0.85
119.2,21.39,0.85
120.4,21.39,0.85
121.7,21.39,0.85
122.9,21.39,0.85
124.2,21.39,0.85
125.4,21.4,0.85
126.7,21.4,0.85
127.9,21.4,0.85
129.1,21.41,0.85
130.4,21.41,0.85
131.6,21.41,0.85
132.9,21.41,0.85
134.1,21.42,0.85
135.4,21.42,0.85
136.6,21.42,0.85
137.9,21.43,0.83
139.1,21.43,0.9
140.4,21.5,0.91
