# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,3.62,1.21
1.1,3.62,1.11
2.3,3.62,1.12
3.4,3.62,1.18
4.6,3.62,1.19
5.7,3.62,1.19
6.8,3.62,1.2
7.9,1.18,0.78
9.1,1.51,0.8
10.2,1.54,0.57
11.4,1.61,0.58
12.5,1.74,0.83
13.6,1.78,0.83
14.8,1.85,0.83
15.9,1.98,0.83
17.1,2.02,0.83
18.2,2.05,0.83
19.3,2.4,0.83
20.5,2.73,0.83
21.6,2.95,0.83
22.8,2.98,0.83
23.9,3.7,1.44
25.1,4.72,1.94
26.3,3.58,2.26
27.5,4.06,4.74
28.6,4.06,5.15
29.7,4.06,5.71
30.9,4.06,5.87
32.0,4.07,6.49
33.1,4.29,6.81
34.2,4.29,7.25
35.4,4.29,7.15
36.5,4.54,4.81
37.6,4.54,5.34
38.8,4.54,5.34
39.9,4.54,5.56
41.0,4.54,6.34
42.2,4.54,6.87
43.3,4.54,6.25
44.5,4.54,7.71
45.6,4.77,4.81
46.7,4.77,5.34
47.9,4.77,5.34
49.0,4.77,5.56
50.2,4.77,6.34
51.3,4.77,6.46
52.4,4.77,6.9
53.5,4.77,7.65
54.7,4.97,4.81
55.8,4.97,5.34
56.9,4.97,5.34
58.1,4.97,5.56
59.2,4.97,5.9
60.3,4.97,6.4
61.5,4.97,6.97
62.6,4.97,7.4
63.7,5.2,2.15
64.8,5.16,4.81
66.0,5.16,5.34
67.1,5.16,5.56
68.2,5.16,5.9
69.4,5.16,6.62
70.5,5.16,7.12
71.6,5.16,7.53
72.8,5.16,7.9
73.9,5.36,4.81
75.0,5.36,5.34
76.2,5.36,5.56
77.3,5.36,5.9
78.4,5.36,5.44
79.5,5.36,7.0
80.7,5.36,7.53
81.8,5.36,7.87
82.9,5.56,4.81
84.1,5.56,5.34
85.2,5.56,5.56
86.3,5.56,5.9
87.5,5.56,6.34
88.6,5.56,6.4
89.7,5.56,7.44
90.8,5.56,7.97
92.0,5.75,3.87
93.1,5.75,4.34
94.2,5.75,5.34
95.4,5.75,5.28
96.5,5.75,2.06
97.7,6.16,2.41
98.8,6.11,2.41
100.0,6.45,2.47
101.1,6.53,2.47
102.3,6.18,2.47
103.4,6.02,2.47
104.6,6.56,2.47
105.8,6.15,2.47
106.9,6.64,2.47
108.0,6.56,2.47
109.2,6.31,2.47
110.4,7.32,2.47
111.5,7.58,2.47
112.6,8.2,2.47
113.8,5.61,2.47
114.9,5.61,2.47
116.1,5.61,2.47
117.2,5.61,2.47
118.3,5.61,2.47
119.4,5.61,2.47
120.6,5.61,2.47
121.7,5.61,2.47
122.8,5.61,2.47
124.0,5.61,2.47
125.1,5.61,2.47
126.3,5.61,2.47
127.4,5.61,2.47
128.5,5.61,2.47
129.7,5.61,2.47
130.8,5.61,2.47
131.9,5.61,2.47
133.1,5.61,2.47
134.2,5.61,2.47
135.4,5.61,2.47
136.5,5.61,2.47
137.6,5.61,2.47
138.8,5.61,2.47
139.9,5.61,2.47
141.0,5.61,2.47
142.2,5.61,2.47
143.3,5.61,2.47
144.4,5.61,2.47
145.6,5.61,2.47
146.7,5.61,2.47
147.8,5.61,2.47
149.0,5.61,2.47
150.1,5.61,2.47
151.2,5.61,2.47
152.4,5.61,2.47
153.5,5.61,2.47
154.7,5.61,2.47
155.8,5.61,2.47
157.0,5.61,2.47
158.1,5.61,2.47
159.2,5.61,2.47
160.4,5.61,2.47
161.5,5.61,2.47
162.6,7.0,2.47
163.8,4.4,2.47
164.9,5.67,2.47
166.1,5.97,2.47
167.2,8.13,2.47
168.4,6.26,2.48
169.5,6.31,2.48
170.7,6.31,2.48
171.8,6.31,2.48
173.0,6.31,2.48
174.1,6.2,2.5
175.3,6.2,2.5
