# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,3.35,
1.0,3.35,
2.0,3.35,
3.1,3.35,
4.1,3.35,
5.1,3.35,
6.1,3.35,
7.1,3.47,
8.1,1.35,
9.1,1.56,
10.2,1.59,
11.2,1.64,
12.2,1.67,
13.2,1.8,
14.2,1.83,
15.2,1.92,
16.2,2.04,
17.2,2.1,
18.3,2.22,
19.3,2.03,
20.3,1.85,
21.3,1.92,
22.3,2.69,
23.3,2.73,
24.4,2.96,
25.4,3.55,
26.4,1.24,
27.4,1.56,
28.4,1.66,
29.4,1.69,
30.5,1.74,
31.5,1.85,
32.5,1.9,
33.5,2.38,
34.5,3.02,
35.5,3.06,
36.5,3.13,
37.6,3.86,
38.6,3.81,
39.6,3.81,
