# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,7.12,
1.0,7.05,
2.0,7.12,
3.0,7.18,
4.0,7.14,
5.0,7.13,
6.0,7.13,
7.0,7.46,
8.0,7.66,
9.0,7.66,
10.0,7.51,
11.0,7.39,
12.0,7.27,
13.0,7.29,
14.0,7.3,
15.0,7.31,
16.0,7.3,
17.0,7.3,
18.0,7.34,
19.0,7.33,
20.0,7.38,
21.0,7.4,
22.0,7.41,
23.0,7.42,
24.0,7.47,
25.0,7.43,
26.0,7.39,
27.0,7.55,
28.0,7.81,
29.0,7.31,
30.0,7.43,
31.0,7.38,
32.0,7.5,
33.0,7.54,
34.0,7.57,
35.0,7.53,
36.1,7.76,
37.1,7.53,
38.1,7.68,
39.1,7.73,
40.1,7.79,
41.1,7.71,
42.1,7.66,
43.1,7.47,
44.1,6.92,
45.1,6.91,
46.1,6.91,
47.1,6.9,
48.1,6.9,
49.1,6.9,
50.1,7.1,
51.1,6.95,
52.1,6.96,
53.1,6.96,
