# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,5.04,
1.0,5.1,
2.0,5.17,
3.0,5.28,
4.0,5.38,
5.0,5.37,
6.0,5.37,
7.0,5.41,
8.0,5.41,
9.0,5.52,
10.0,5.88,
11.0,5.91,
12.0,5.96,
13.1,5.99,
14.1,6.02,
15.1,6.03,
16.1,6.41,
17.1,6.76,
18.1,6.99,
19.1,6.53,
20.1,6.48,
21.1,6.49,
22.1,6.59,
23.1,7.99,
24.1,6.63,
25.1,7.56,
26.1,6.63,
27.1,7.27,
28.1,6.62,
29.1,7.18,
30.1,6.62,
31.1,6.92,
32.1,7.27,
33.1,6.84,
34.1,7.31,
35.1,6.69,
36.1,7.33,
37.1,6.58,
38.1,7.37,
39.1,6.58,
40.1,7.94,
41.1,6.64,
42.1,7.51,
43.1,6.67,
44.1,7.09,
45.1,7.4,
46.1,6.7,
47.1,7.67,
48.1,6.74,
49.1,8.02,
50.1,6.8,
51.1,7.45,
52.1,6.97,
53.1,7.16,
54.1,7.64,
55.1,6.88,
56.1,8.27,
57.1,6.95,
58.1,8.11,
59.1,7.0,
60.1,7.56,
61.2,7.8,
62.2,7.07,
63.2,7.34,
64.2,8.49,
65.2,7.16,
66.2,8.22,
67.2,7.15,
68.2,7.79,
69.2,7.99,
70.2,7.43,
71.2,8.02,
72.2,7.28,
73.2,8.6,
74.2,7.31,
75.2,8.09,
76.2,7.53,
77.2,7.53,
78.2,7.65,
79.2,7.68,
80.2,7.78,
81.2,7.92,
82.2,7.97,
83.2,8.32,
84.2,8.09,
85.2,8.2,
86.2,8.2,
87.2,8.53,
88.3,8.12,
89.3,8.19,
90.3,8.47,
91.3,8.52,
92.3,8.68,
93.3,8.29,
94.3,8.48,
95.3,7.75,
96.3,8.29,
97.3,8.03,
98.3,7.25,
99.3,7.3,
100.3,7.13,
101.3,7.13,
