# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,6.2,
1.0,6.14,
2.0,6.2,
3.0,6.32,
4.0,6.31,
5.0,6.29,
6.0,6.28,
7.0,4.61,
8.0,4.51,
9.0,4.88,
10.0,5.01,
11.0,5.04,
12.0,5.09,
13.0,5.1,
14.0,5.16,
15.0,5.85,
16.0,5.81,
17.0,5.53,
18.0,6.04,
19.0,5.73,
20.0,5.44,
21.0,5.8,
22.0,5.57,
23.0,5.79,
24.0,6.28,
25.0,5.65,
26.0,6.31,
27.0,5.61,
28.0,7.12,
29.0,5.58,
30.0,7.17,
31.0,5.64,
32.0,6.21,
33.0,5.66,
34.0,6.14,
35.0,5.72,
36.0,5.98,
37.0,6.49,
38.0,5.84,
39.0,6.52,
40.0,5.82,
41.0,6.88,
42.0,5.9,
43.0,6.78,
44.0,5.95,
45.1,6.73,
46.1,5.99,
47.1,6.59,
48.1,6.05,
49.1,6.49,
50.1,6.9,
51.1,6.19,
52.1,6.94,
53.1,6.21,
54.1,7.28,
55.1,6.25,
56.1,7.52,
57.1,6.32,
58.1,7.33,
59.1,6.4,
60.1,6.98,
61.1,6.44,
62.1,6.97,
63.1,7.2,
64.1,6.53,
65.1,7.3,
66.1,6.68,
67.1,6.84,
68.1,6.9,
69.1,7.02,
70.1,7.09,
71.1,7.23,
72.1,7.3,
73.1,7.39,
74.1,7.4,
75.1,7.47,
76.1,7.61,
77.1,7.8,
78.1,7.47,
79.1,7.53,
80.1,7.75,
81.1,7.87,
82.1,7.97,
83.1,7.87,
84.1,7.99,
85.1,7.6,
86.1,7.66,
87.1,7.4,
88.1,6.7,
89.1,6.71,
90.1,6.71,
