# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,2.82,
1.1,2.82,
2.1,2.81,
3.1,2.81,
4.1,2.8,
5.1,2.8,
6.1,2.79,
7.1,2.81,
8.1,3.43,
9.1,3.96,
10.1,3.04,
11.1,4.9,
12.1,2.95,
13.1,3.8,
14.1,2.93,
15.1,3.28,
16.1,3.92,
17.1,2.89,
18.1,4.53,
19.1,2.92,
20.2,4.53,
21.2,2.93,
22.2,3.77,
23.2,2.82,
24.2,3.38,
25.2,3.9,
26.2,2.92,
27.2,4.52,
28.2,2.84,
29.2,4.25,
30.2,2.91,
31.2,3.67,
32.2,2.93,
33.2,3.26,
34.2,3.91,
35.2,2.95,
36.2,4.81,
37.2,2.93,
38.2,3.8,
39.3,2.93,
40.3,3.43,
41.3,3.95,
42.3,3.02,
43.3,4.09,
44.3,2.81,
45.3,4.28,
46.3,2.94,
47.3,3.71,
48.3,3.63,
49.3,2.96,
50.3,4.75,
51.3,2.94,
52.3,3.94,
53.3,2.91,
54.3,3.47,
55.3,3.99,
56.3,3.03,
57.3,4.66,
58.3,2.95,
59.4,3.79,
60.4,2.98,
61.4,3.25,
62.4,3.95,
63.4,2.82,
64.4,3.11,
65.4,3.13,
66.4,3.19,
67.4,3.36,
68.4,3.38,
69.4,3.75,
70.4,3.47,
71.4,3.51,
72.4,3.79,
73.4,3.38,
74.4,3.43,
75.4,3.7,
76.4,3.8,
77.4,3.93,
78.4,3.71,
79.4,2.93,
80.5,3.72,
81.5,3.3,
82.5,2.3,
83.5,2.3,
84.5,2.3,
85.5,2.3,
86.5,2.2,
87.5,2.2,
88.5,3.11,
89.5,2.34,
90.5,2.82,
91.5,3.35,
92.5,2.63,
93.5,3.34,
94.5,2.43,
95.5,3.34,
96.5,2.3,
97.5,4.26,
98.6,2.34,
99.6,3.83,
100.6,2.35,
101.6,3.39,
102.6,2.35,
103.6,3.26,
104.6,2.33,
105.6,3.01,
106.6,2.36,
107.6,2.71,
108.6,3.37,
109.6,2.47,
110.6,3.37,
111.6,2.29,
112.6,3.98,
113.6,2.34,
114.6,3.32,
115.6,2.37,
116.6,2.99,
117.6,2.38,
118.7,2.75,
119.7,3.4,
120.7,2.47,
121.7,3.38,
122.7,2.36,
123.7,3.84,
124.7,2.41,
125.7,3.27,
126.7,2.37,
127.7,3.03,
128.7,2.55,
129.7,2.5,
130.7,3.4,
131.7,2.38,
132.7,3.62,
133.7,2.41,
134.7,3.11,
135.7,2.43,
136.7,2.66,
137.8,3.43,
138.8,2.35,
139.8,3.76,
140.8,2.38,
141.8,2.6,
142.8,2.64,
143.8,2.82,
144.8,2.94,
145.8,3.02,
146.8,3.44,
147.8,3.09,
148.8,3.15,
149.8,3.45,
150.8,3.09,
151.8,3.16,
152.8,3.45,
153.8,3.59,
154.8,3.49,
155.8,3.61,
156.8,2.72,
157.8,3.5,
158.9,3.08,
159.9,2.06,
160.9,2.08,
161.9,2.05,
162.9,2.04,
163.9,2.01,
164.9,2.0,
165.9,1.99,
166.9,1.98,
167.9,1.98,
168.9,1.97,
169.9,1.97,
170.9,2.07,
171.9,2.07,
