# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,7.16,
1.0,7.11,
2.0,7.22,
3.0,7.26,
4.0,7.28,
5.0,7.27,
6.0,7.27,
7.0,7.35,
8.0,7.35,
9.0,7.65,
10.0,7.19,
11.0,7.16,
12.0,7.17,
13.0,7.13,
14.0,7.22,
15.0,7.27,
16.0,7.4,
17.0,7.64,
18.0,7.68,
19.0,7.43,
20.0,7.26,
21.0,7.13,
22.0,7.17,
23.0,7.14,
24.0,7.13,
25.0,7.03,
26.0,7.13,
27.0,7.27,
28.0,7.49,
29.0,7.16,
30.0,7.18,
31.0,7.24,
32.0,7.12,
33.0,7.21,
34.0,7.22,
35.0,7.44,
36.1,7.21,
37.1,7.38,
38.1,7.47,
39.1,7.44,
40.1,7.09,
41.1,7.34,
42.1,6.66,
43.1,6.66,
44.1,6.66,
45.1,6.65,
46.1,6.64,
47.1,6.7,
48.1,6.84,
49.1,6.85,
50.1,6.84,
