# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,1.45,
1.1,1.45,
2.1,1.45,
3.1,1.45,
4.1,1.45,
5.1,1.45,
6.1,1.45,
7.1,1.45,
8.1,1.45,
9.1,1.44,
10.1,1.48,
11.1,1.49,
12.1,1.82,
13.1,1.94,
14.1,1.96,
15.2,2.0,
16.2,2.0,
17.2,2.01,
18.2,2.01,
19.2,2.03,
20.2,2.38,
21.4,2.6,
22.4,2.6,
23.4,2.47,
24.4,2.03,
25.4,2.04,
26.4,2.05,
27.5,2.07,
28.5,2.08,
29.5,2.07,
30.5,2.08,
31.5,2.09,
32.5,2.09,
33.5,2.1,
34.5,2.11,
35.5,2.12,
36.5,2.12,
37.5,2.13,
38.5,2.13,
39.5,2.13,
40.5,2.3,
41.6,3.01,
42.6,2.29,
43.6,3.13,
44.6,2.33,
45.6,3.09,
46.6,2.54,
47.6,3.14,
48.6,2.41,
49.6,3.15,
50.6,2.53,
51.6,3.2,
52.6,2.81,
53.6,2.43,
54.6,3.09,
55.6,2.48,
56.6,3.03,
57.6,2.61,
58.6,3.11,
59.6,2.65,
60.7,3.17,
61.7,3.46,
62.7,2.91,
63.7,3.5,
64.7,2.93,
65.7,3.58,
66.7,2.85,
67.7,4.05,
68.7,2.87,
69.7,4.41,
70.7,2.94,
71.7,4.18,
72.8,2.97,
73.8,4.12,
74.8,3.04,
75.8,3.88,
76.8,3.05,
77.8,3.85,
78.8,3.1,
79.8,3.91,
80.8,3.14,
81.8,4.27,
82.8,3.21,
83.8,4.48,
84.8,3.23,
85.8,4.44,
86.8,3.27,
87.8,4.56,
88.8,3.3,
89.8,3.55,
90.9,3.59,
91.9,3.69,
92.9,3.72,
93.9,3.89,
94.9,3.94,
95.9,3.99,
96.9,4.03,
97.9,4.08,
98.9,4.34,
99.9,4.0,
100.9,4.07,
101.9,4.32,
102.9,4.38,
103.9,4.53,
104.9,4.37,
105.9,4.51,
106.9,3.9,
107.9,4.2,
108.9,3.19,
109.9,3.23,
110.9,3.22,
111.9,3.21,
