# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,5.91,
1.0,4.3,
2.0,4.45,
3.0,4.47,
4.0,4.55,
5.0,4.55,
6.0,4.59,
7.0,4.93,
8.0,5.77,
9.0,7.94,
10.0,5.21,
11.0,7.0,
12.0,5.46,
13.0,6.56,
14.0,6.34,
15.0,6.5,
16.0,6.6,
17.0,6.16,
18.0,6.6,
19.1,5.97,
20.1,7.32,
21.1,5.59,
22.1,5.28,
23.1,5.12,
24.1,4.94,
25.1,6.17,
26.1,6.61,
27.1,5.98,
28.1,7.11,
29.1,5.68,
30.1,8.12,
31.1,5.27,
32.1,7.15,
33.1,4.97,
34.1,6.62,
35.2,6.35,
36.2,6.49,
37.2,6.57,
38.2,6.46,
39.2,4.97,
40.2,5.04,
41.2,5.23,
42.2,7.24,
43.2,5.0,
44.2,6.86,
45.2,6.57,
46.2,6.52,
47.2,6.59,
48.2,6.21,
49.2,6.57,
50.2,5.97,
51.2,6.55,
52.2,5.86,
53.2,6.6,
54.2,5.67,
55.2,4.91,
56.2,4.98,
57.2,4.85,
58.2,6.28,
59.2,6.52,
60.2,5.75,
61.2,6.37,
62.2,5.54,
63.2,7.41,
64.2,5.34,
65.2,7.83,
66.2,5.13,
67.3,7.39,
68.3,4.54,
69.3,6.36,
70.3,6.17,
71.3,6.21,
72.3,4.59,
73.3,4.66,
74.3,4.86,
75.3,6.82,
76.3,4.58,
77.3,6.19,
78.3,6.18,
79.3,5.75,
80.3,6.17,
81.3,5.55,
82.3,6.83,
83.3,5.33,
84.3,7.77,
85.3,5.06,
86.3,7.3,
87.3,4.75,
88.3,5.6,
89.4,4.6,
90.4,4.67,
91.4,5.36,
92.4,7.58,
93.4,5.18,
94.4,7.38,
95.4,4.85,
96.4,6.66,
97.4,4.89,
98.4,6.2,
99.4,6.23,
100.4,6.02,
101.4,6.22,
102.4,5.79,
103.5,6.18,
104.5,5.42,
105.5,4.57,
106.5,4.64,
107.5,4.52,
108.5,6.12,
109.5,6.13,
110.5,5.79,
111.5,6.09,
112.5,5.47,
113.5,6.1,
114.5,5.32,
115.5,6.39,
116.5,4.92,
117.5,7.26,
118.5,4.74,
119.5,6.87,
120.5,4.57,
121.5,5.36,
122.5,4.37,
123.5,4.31,
124.5,5.33,
125.6,5.96,
126.6,5.05,
127.6,7.59,
128.6,4.72,
129.6,6.93,
130.6,4.52,
131.6,6.47,
132.6,4.66,
133.6,6.0,
134.6,6.0,
135.6,5.74,
136.6,6.01,
137.6,5.46,
138.6,4.43,
139.6,4.51,
140.6,4.43,
141.6,5.95,
142.6,6.09,
143.6,5.65,
144.6,6.05,
145.6,5.42,
146.6,6.96,
147.6,4.98,
148.6,7.32,
149.6,4.58,
150.6,6.66,
151.6,4.58,
152.6,6.56,
153.6,5.4,
154.6,6.22,
155.7,4.34,
156.7,4.42,
157.7,4.58,
158.7,6.54,
159.7,4.53,
160.7,6.09,
161.7,6.07,
162.7,5.86,
163.7,7.12,
164.7,4.87,
165.7,6.12,
166.7,6.13,
167.7,5.45,
168.7,6.37,
169.7,5.25,
170.7,7.72,
171.7,5.05,
172.7,5.05,
173.7,4.39,
174.7,4.36,
175.7,5.08,
176.7,7.26,
177.7,4.64,
178.7,6.59,
179.8,5.54,
180.8,5.91,
181.8,5.95,
182.8,5.67,
183.8,5.96,
184.8,5.43,
185.8,5.98,
186.8,5.24,
187.8,6.59,
188.8,4.95,
189.8,4.46,
190.8,4.3,
191.8,4.16,
192.8,4.72,
193.8,6.39,
194.8,5.72,
195.8,5.71,
196.8,5.95,
197.8,5.33,
198.8,6.87,
199.8,4.88,
200.8,6.9,
201.8,4.49,
202.8,6.44,
203.9,4.38,
204.9,6.15,
205.9,5.97,
206.9,6.17,
207.9,4.28,
208.9,4.35,
209.9,4.56,
210.9,6.29,
211.9,6.13,
212.9,5.99,
213.9,6.08,
214.9,5.85,
215.9,6.07,
216.9,5.44,
217.9,6.07,
218.9,5.23,
219.9,7.22,
220.9,5.04,
221.9,7.17,
222.9,4.63,
223.9,5.49,
224.9,4.36,
226.0,4.22,
227.0,4.95,
228.0,7.15,
229.0,4.56,
230.0,5.84,
231.0,6.07,
232.0,4.96,
233.0,7.24,
234.1,4.59,
235.1,6.23,
236.1,5.88,
237.1,5.99,
238.1,6.03,
239.1,5.62,
240.1,6.01,
241.1,5.42,
242.1,4.27,
243.1,4.33,
244.1,4.24,
245.1,5.59,
246.1,6.02,
247.1,5.19,
248.1,7.14,
249.1,4.99,
250.1,7.52,
251.1,4.79,
252.1,7.2,
253.1,4.45,
254.1,6.5,
255.1,5.08,
256.1,5.88,
257.1,5.92,
258.1,6.09,
259.2,4.22,
260.2,4.3,
261.2,4.41,
262.2,6.09,
263.2,4.91,
264.2,5.89,
265.2,5.89,
266.2,5.68,
267.2,5.89,
268.2,5.34,
269.2,5.94,
270.2,4.99,
271.2,7.18,
272.2,4.45,
273.2,6.22,
274.2,5.89,
275.2,6.08,
276.2,4.17,
277.2,4.23,
278.2,4.37,
279.3,6.03,
280.3,5.99,
281.3,5.76,
282.3,5.98,
283.3,5.56,
284.3,5.98,
285.3,5.36,
286.3,6.23,
287.3,5.19,
288.3,7.54,
289.3,4.73,
290.3,6.69,
291.3,4.44,
292.3,5.38,
293.3,4.3,
294.3,4.38,
295.3,4.48,
296.3,6.51,
297.3,4.78,
298.3,6.09,
299.3,5.97,
300.3,5.82,
301.3,5.98,
302.3,5.3,
303.3,7.6,
304.3,4.74,
305.3,6.51,
306.3,6.0,
307.4,5.97,
308.4,5.99,
309.4,5.32,
310.4,4.39,
311.4,4.37,
312.4,4.27,
313.4,5.62,
314.4,6.04,
315.4,5.4,
316.4,6.0,
317.4,5.14,
318.4,7.21,
319.4,4.95,
320.4,7.25,
321.4,4.63,
322.4,6.53,
323.4,4.32,
324.4,6.09,
325.5,5.99,
326.5,6.22,
327.5,4.29,
328.5,4.36,
329.5,4.35,
330.5,5.97,
331.5,5.95,
332.5,5.74,
333.5,5.96,
334.5,5.54,
335.5,5.99,
336.5,5.29,
337.5,6.52,
338.5,4.76,
339.5,7.1,
340.5,4.55,
341.5,6.7,
342.5,4.31,
343.5,5.21,
344.5,4.12,
345.5,3.88,
346.5,4.71,
347.5,6.75,
348.5,4.45,
349.5,6.16,
350.5,5.99,
351.5,5.77,
352.5,5.99,
353.5,5.36,
354.5,6.28,
355.6,5.16,
356.6,7.58,
357.6,4.75,
358.6,6.88,
359.6,4.44,
360.6,5.34,
361.6,4.25,
362.6,4.32,
363.6,4.62,
364.6,6.72,
365.6,4.31,
366.6,6.11,
367.6,4.94,
368.6,5.89,
369.6,5.88,
370.6,5.74,
371.6,5.89,
372.6,5.47,
373.6,5.89,
374.6,5.3,
375.6,6.15,
376.6,5.03,
377.7,4.31,
378.7,4.28,
379.7,4.2,
380.7,5.54,
381.7,5.94,
382.7,5.13,
383.7,7.22,
384.7,4.92,
385.7,7.05,
386.7,4.52,
387.7,6.37,
388.7,5.71,
389.7,5.96,
390.7,6.01,
391.7,5.58,
392.8,6.02,
393.8,4.95,
394.8,5.05,
395.8,4.32,
396.8,4.18,
397.8,4.96,
398.8,7.49,
399.8,4.68,
400.8,6.23,
401.8,5.9,
402.8,5.56,
403.8,5.86,
404.8,5.17,
405.8,6.59,
406.8,4.84,
407.8,7.33,
408.8,4.7,
409.8,6.87,
410.8,4.34,
411.8,5.27,
412.8,4.18,
413.8,3.97,
414.8,5.08,
415.8,5.14,
416.8,4.97,
417.8,5.29,
418.8,5.33,
419.9,5.21,
420.9,5.28,
421.9,5.47,
422.9,5.54,
423.9,5.92,
424.9,5.66,
425.9,5.71,
426.9,6.32,
427.9,6.12,
428.9,6.33,
429.9,6.46,
430.9,6.53,
431.9,6.56,
432.9,6.05,
433.9,7.38,
434.9,8.08,
435.9,6.8,
436.9,6.92,
437.9,6.92,
438.9,6.55,
439.9,7.14,
440.9,7.06,
441.9,7.15,
442.9,7.15,
443.9,8.61,
444.9,8.12,
445.9,8.37,
446.9,8.37,
447.9,6.75,
448.9,6.85,
449.9,7.08,
450.9,7.2,
451.9,7.07,
452.9,7.3,
453.9,7.89,
455.0,8.16,
456.0,8.16,
457.0,7.57,
458.0,8.01,
459.0,8.32,
460.0,8.51,
461.0,8.57,
462.0,8.81,
463.0,9.02,
464.0,9.05,
465.0,8.33,
466.0,8.12,
467.0,8.47,
468.0,8.69,
469.0,8.72,
470.0,9.04,
471.1,9.14,
472.1,9.17,
473.1,6.36,
474.1,7.09,
475.1,8.06,
476.1,9.1,
477.1,8.91,
478.1,7.18,
479.1,8.57,
480.1,7.46,
481.1,7.94,
482.1,4.28,
483.1,4.63,
484.1,5.04,
485.1,5.26,
486.1,6.43,
487.1,6.35,
488.1,6.37,
489.1,6.42,
490.1,6.46,
491.1,6.49,
492.1,6.09,
493.1,6.03,
494.1,5.93,
495.1,5.9,
496.1,5.91,
497.1,5.91,
498.1,5.9,
499.1,5.9,
500.1,5.9,
501.1,5.9,
502.1,5.89,
503.1,5.87,
504.1,5.87,
505.1,5.86,
506.1,5.86,
507.1,5.86,
508.1,5.86,
509.1,5.86,
510.1,5.86,
511.1,5.86,
512.1,5.86,
513.1,5.86,
514.1,5.86,
515.1,5.86,
516.1,5.86,
517.1,5.86,
518.1,5.86,
519.1,5.87,
520.1,5.87,
521.1,5.87,
522.1,5.87,
523.1,5.87,
524.1,5.87,
525.1,5.87,
526.1,5.87,
527.1,5.87,
528.1,5.87,
529.1,5.87,
530.1,5.87,
531.1,5.87,
532.1,5.85,
533.1,5.86,
534.1,5.86,
535.1,5.85,
536.1,5.85,
537.1,5.86,
538.1,5.86,
539.1,5.86,
540.1,5.86,
541.1,5.86,
542.1,5.86,
543.1,5.82,
544.1,5.82,
545.1,5.82,
546.1,5.82,
547.1,5.82,
548.1,5.82,
549.1,5.82,
550.1,5.82,
551.1,5.82,
552.1,5.82,
553.1,5.82,
554.1,5.82,
555.1,5.82,
556.1,5.83,
557.1,5.83,
558.1,5.93,
