# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,5.88,
1.0,5.79,
2.0,5.74,
3.0,6.03,
4.0,6.01,
5.0,6.0,
6.0,6.0,
7.0,5.99,
8.0,6.16,
9.0,6.89,
10.0,6.28,
11.0,6.77,
12.0,6.42,
13.0,6.57,
14.0,6.54,
15.0,6.36,
16.0,6.74,
17.0,6.36,
18.0,7.01,
19.0,6.42,
20.0,6.98,
21.0,6.47,
22.0,7.41,
23.0,6.51,
24.1,7.3,
25.1,6.97,
26.1,6.6,
27.1,7.96,
28.1,6.64,
29.1,7.45,
30.1,7.15,
31.1,6.7,
32.1,7.77,
33.1,6.75,
34.1,7.55,
35.1,7.23,
36.1,6.83,
37.1,8.05,
38.1,6.91,
39.1,8.14,
40.1,6.97,
41.1,7.75,
42.1,6.99,
43.1,7.79,
44.1,7.11,
45.2,7.88,
46.2,7.23,
47.2,7.76,
48.2,7.41,
49.2,7.74,
50.2,7.52,
51.2,7.27,
52.2,7.42,
53.2,7.59,
54.2,7.64,
55.2,7.73,
56.2,7.89,
57.2,7.97,
58.2,7.98,
59.2,8.0,
60.2,8.14,
61.2,8.29,
62.2,8.48,
63.2,8.14,
64.2,8.21,
65.2,8.37,
66.2,8.48,
67.2,8.31,
68.2,8.57,
69.2,8.1,
70.2,8.42,
71.2,7.28,
72.2,7.3,
73.3,7.3,
74.3,7.34,
