# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,7.31,
1.0,5.75,
2.0,5.98,
3.0,6.0,
4.0,5.99,
5.0,5.99,
6.0,5.99,
7.0,6.11,
8.0,6.11,
9.0,6.19,
10.0,6.68,
11.0,6.25,
12.0,6.52,
13.1,6.95,
14.1,8.65,
15.1,10.62,
16.1,7.0,
17.1,8.55,
18.1,9.37,
19.1,7.0,
20.1,8.73,
21.1,8.59,
22.1,6.55,
23.1,6.56,
24.1,6.69,
25.1,6.36,
26.1,7.02,
27.1,8.92,
28.1,8.3,
29.1,7.59,
30.1,9.94,
31.1,6.53,
32.1,8.15,
33.2,8.01,
34.2,6.13,
35.2,6.45,
36.2,6.24,
37.2,5.92,
38.2,8.0,
39.2,8.08,
40.2,7.84,
41.2,8.1,
42.2,7.6,
43.2,8.0,
44.2,6.15,
45.2,6.36,
46.2,6.27,
47.2,6.1,
48.2,8.29,
49.2,8.1,
50.2,8.05,
51.2,8.13,
52.2,7.79,
53.2,8.03,
54.2,6.17,
55.2,6.25,
56.3,6.13,
57.3,6.19,
58.3,7.52,
59.3,8.1,
60.3,7.22,
61.3,9.68,
62.3,6.91,
63.3,9.58,
64.3,6.41,
65.3,6.19,
66.3,6.33,
67.3,5.97,
68.3,6.8,
69.3,9.22,
70.3,7.63,
71.3,7.99,
72.3,7.85,
73.3,6.83,
74.3,8.76,
75.3,7.25,
76.3,7.44,
77.3,7.74,
78.3,6.55,
79.3,8.5,
80.3,7.65,
81.3,7.06,
82.3,9.26,
83.3,6.25,
84.3,7.8,
85.3,7.68,
86.4,6.8,
87.4,8.8,
88.4,7.53,
89.4,7.29,
90.4,7.92,
91.4,6.4,
92.4,8.41,
93.4,7.59,
94.4,7.26,
95.4,7.54,
96.4,6.34,
97.4,8.4,
98.4,7.39,
99.4,7.09,
100.4,8.09,
101.5,6.18,
102.5,8.34,
103.5,6.63,
104.5,7.18,
105.5,7.36,
106.5,6.15,
107.5,8.01,
108.5,7.21,
109.5,6.79,
110.5,8.26,
111.5,5.89,
112.5,7.55,
113.5,7.21,
114.5,6.6,
115.5,8.75,
116.6,5.58,
117.6,7.05,
118.6,7.05,
119.6,6.25,
120.6,8.63,
121.6,5.53,
122.6,6.76,
123.6,7.15,
124.6,5.66,
125.6,7.51,
126.6,6.85,
127.6,6.54,
128.6,6.95,
129.6,5.76,
130.6,7.79,
131.6,6.84,
132.6,6.54,
133.6,6.79,
134.6,5.99,
135.6,7.68,
136.7,5.83,
137.7,8.35,
138.7,5.62,
139.7,7.83,
140.7,5.3,
141.7,7.24,
142.7,5.93,
143.7,6.8,
144.7,6.81,
145.7,6.51,
146.7,6.81,
147.7,6.21,
148.7,7.76,
149.7,5.71,
150.7,8.15,
151.7,5.43,
152.7,7.65,
153.7,5.3,
154.7,7.12,
155.7,6.59,
156.7,6.81,
157.7,6.72,
158.7,6.34,
159.7,6.65,
160.7,4.74,
161.7,4.74,
162.7,4.85,
163.7,4.85,
164.7,5.93,
165.7,8.57,
166.7,5.67,
167.7,8.21,
168.7,5.43,
169.7,7.87,
170.7,5.16,
171.7,4.95,
172.7,5.08,
173.8,5.09,
174.8,4.64,
175.8,5.23,
176.8,7.01,
177.8,6.64,
178.8,5.84,
179.8,7.92,
180.8,5.27,
181.8,6.54,
182.8,6.53,
183.8,5.65,
184.8,7.58,
185.8,5.89,
186.8,6.24,
187.8,6.55,
188.9,5.36,
189.9,7.07,
190.9,6.54,
191.9,5.94,
192.9,8.31,
193.9,5.07,
194.9,6.69,
195.9,6.56,
196.9,5.95,
197.9,8.07,
198.9,5.06,
199.9,6.6,
200.9,6.56,
201.9,5.92,
202.9,8.12,
203.9,5.02,
204.9,6.57,
205.9,6.58,
206.9,5.83,
207.9,8.1,
208.9,5.08,
209.9,6.6,
211.0,6.58,
212.0,5.98,
213.0,8.17,
214.0,4.87,
215.0,6.57,
216.0,6.58,
217.0,5.93,
218.0,7.82,
219.0,4.76,
220.0,6.54,
221.0,6.54,
222.0,5.65,
223.0,7.69,
224.0,5.74,
225.0,6.5,
226.0,6.33,
227.0,6.04,
228.0,6.33,
229.0,5.74,
230.1,6.77,
231.1,5.45,
232.1,8.07,
233.1,5.15,
234.1,7.6,
235.1,4.85,
236.1,6.8,
237.1,5.86,
238.1,6.33,
239.1,6.15,
240.1,5.85,
241.1,6.15,
242.1,5.55,
243.1,6.37,
244.1,5.27,
245.1,7.9,
