# total_ram_gb=30.0
t,ram_gb,vram_gb
0.0,14.33,1.66
1.4,14.81,1.57
2.7,15.1,0.79
4.0,14.28,0.73
5.3,14.28,0.73
6.6,14.28,0.84
7.9,14.3,0.83
9.1,14.28,0.83
10.4,14.28,0.89
11.8,14.3,0.83
13.0,14.3,0.83
14.3,14.3,0.85
15.5,14.31,0.85
16.8,14.32,0.85
18.1,14.38,0.86
19.3,14.69,0.85
20.6,14.96,0.86
21.9,15.21,0.85
23.1,15.46,0.85
24.4,15.68,0.84
25.7,15.94,0.84
26.9,16.18,0.84
28.2,16.38,0.84
29.5,14.98,0.97
30.7,14.32,1.59
32.0,14.27,1.72
33.2,14.27,3.78
34.5,14.32,1.75
35.8,14.4,3.84
37.1,14.36,3.84
38.3,14.36,3.84
39.6,14.49,1.6
40.9,15.1,1.45
42.1,14.26,0.86
43.4,14.26,0.94
44.7,14.34,0.91
