# total_ram_gb=30.0
t,ram_gb,vram_gb
0.0,14.03,0.91
1.3,14.03,0.84
2.6,13.99,0.76
3.8,13.97,0.72
5.1,14.06,0.78
6.4,14.07,0.77
7.7,14.08,0.76
9.0,14.08,0.82
10.2,14.09,0.83
11.5,14.11,0.83
12.7,14.13,0.84
14.0,14.14,0.85
15.3,14.26,0.85
16.6,14.49,0.86
17.9,14.72,0.85
19.2,14.95,0.86
20.5,15.21,0.84
21.8,15.42,0.85
23.1,15.7,0.84
24.4,15.96,0.85
25.6,16.21,0.84
26.9,15.39,0.84
28.2,14.44,1.38
29.5,14.12,1.62
30.7,14.13,2.75
32.0,14.15,2.75
33.4,14.17,2.75
34.7,14.17,2.75
36.0,14.17,2.75
37.3,14.17,2.75
38.5,14.17,2.75
39.8,14.1,2.75
41.0,14.09,2.75
42.4,14.08,2.75
43.6,14.1,2.75
44.9,14.09,2.75
46.1,14.1,2.75
47.4,14.1,2.76
48.7,14.14,1.6
50.0,14.19,1.6
51.3,14.26,1.6
52.6,14.36,1.69
53.9,14.35,1.66
