# total_ram_gb=15.9
t,ram_gb,vram_gb
0.0,0.9,0.31
1.1,0.9,0.4
2.2,0.9,0.63
3.3,0.9,0.63
4.4,0.9,0.63
5.5,0.9,0.63
6.6,0.9,0.63
7.7,1.3,0.64
8.8,1.44,0.64
9.9,1.45,0.65
11.0,1.45,0.65
12.1,1.45,0.65
13.2,1.45,0.65
14.3,1.45,0.65
15.4,1.45,0.65
16.5,1.45,0.65
17.6,1.45,0.65
18.7,1.51,0.65
19.8,1.64,0.76
20.9,1.66,0.76
22.0,1.75,0.76
23.1,1.88,0.76
24.2,2.01,0.76
25.3,2.14,0.76
26.4,2.27,0.76
27.5,2.4,0.76
28.6,2.53,0.76
29.7,2.59,0.76
30.8,2.53,0.76
31.9,2.66,0.76
33.0,2.79,0.76
34.2,2.92,0.76
35.3,1.76,0.76
36.4,1.69,0.76
37.5,2.28,1.09
38.6,2.55,3.28
39.7,2.59,3.29
40.8,2.59,3.29
41.9,2.59,3.38
