# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,2.57,3.36
1.1,3.33,0.7
2.3,3.33,0.72
3.4,3.33,0.74
4.6,3.33,0.77
5.7,3.33,0.77
6.8,3.38,0.57
8.0,1.27,0.57
9.1,1.49,0.57
10.3,1.53,0.57
11.4,1.59,0.57
12.5,1.7,0.67
13.7,1.74,0.67
14.9,1.87,1.6
16.0,2.28,2.05
17.2,2.4,6.81
18.4,2.63,7.66
19.5,2.98,7.66
20.6,2.99,7.66
21.8,3.41,7.66
22.9,3.51,7.66
24.1,3.44,7.66
25.2,3.88,0.83
26.3,3.88,0.82
27.5,3.88,0.82
28.6,3.88,0.85
29.8,3.88,0.85
30.9,3.88,0.85
32.0,3.88,0.85
33.2,3.88,0.85
34.3,3.88,0.85
35.4,3.88,0.85
36.5,3.88,0.85
37.7,3.88,0.85
38.8,3.88,0.85
40.0,3.88,0.85
41.1,3.88,0.85
42.2,3.59,0.85
43.4,3.59,0.85
44.5,3.59,0.85
45.6,3.59,0.85
46.8,3.59,0.85
47.9,3.59,0.85
49.0,3.59,0.85
50.2,3.59,0.85
51.3,3.59,0.85
52.4,3.59,0.85
53.6,3.59,0.85
54.7,3.59,0.85
55.8,3.59,0.85
57.0,3.59,0.85
58.1,3.59,0.85
59.3,3.59,0.85
60.4,3.59,0.85
61.5,3.59,0.85
62.7,3.59,0.85
63.8,3.59,0.85
65.0,3.59,0.85
66.1,3.59,0.85
67.2,3.59,0.85
68.4,3.59,0.85
69.5,3.59,0.85
70.6,3.59,0.85
71.8,3.59,0.85
72.9,3.59,0.85
74.0,3.59,0.85
75.2,3.59,0.85
76.3,3.59,0.85
77.5,3.59,0.85
78.6,3.59,0.85
79.7,3.59,0.85
80.9,3.59,0.85
82.0,3.59,0.85
83.1,3.59,0.85
84.3,3.59,0.85
85.4,3.59,0.85
86.5,3.59,0.85
