# total_ram_gb=15.9
t,ram_gb,vram_gb
0.0,3.58,1.16
1.1,3.58,1.05
2.2,3.58,1.0
3.3,3.58,1.03
4.4,3.58,1.03
5.5,1.06,0.78
6.6,1.51,0.78
7.7,1.6,0.78
8.8,1.75,0.9
9.9,1.76,0.9
10.9,1.87,0.9
12.1,1.82,0.9
13.2,1.92,0.9
14.3,2.78,0.9
15.4,2.95,0.9
16.5,3.25,2.0
17.6,5.42,2.0
18.8,3.88,4.78
19.9,3.97,5.35
21.0,3.97,5.35
22.1,3.97,5.94
23.2,3.97,6.28
24.3,3.97,6.28
25.4,3.97,6.28
26.5,3.97,6.6
27.6,4.18,6.6
28.7,4.18,6.88
29.8,4.18,6.85
30.9,4.18,7.29
32.0,4.18,7.57
33.1,4.44,4.85
34.2,4.44,4.85
35.3,4.44,5.38
36.4,4.44,5.38
37.5,4.44,5.6
38.6,4.44,5.6
39.7,4.44,5.95
40.8,4.44,6.38
41.9,4.44,6.66
43.0,4.44,6.6
44.1,4.44,7.26
45.3,4.44,7.63
46.4,4.44,7.57
47.5,4.66,4.85
48.6,4.66,4.85
49.7,4.66,5.38
50.8,4.66,5.38
51.9,4.66,5.6
53.0,4.66,5.6
54.1,4.66,5.95
55.2,4.66,6.38
56.3,4.66,6.45
57.4,4.66,6.76
58.6,4.66,7.1
59.7,4.66,7.63
60.8,4.66,4.85
62.6,4.86,4.85
63.7,4.86,5.38
64.8,4.86,5.2
65.9,4.86,5.2
67.0,4.86,5.42
68.1,4.86,5.42
69.1,4.86,6.2
70.3,4.86,6.45
71.4,4.86,6.67
72.5,4.86,6.82
73.6,4.86,7.29
74.7,4.86,7.63
75.8,5.06,4.67
76.9,5.06,4.67
78.0,5.06,5.2
79.1,5.06,5.2
80.2,5.06,5.2
81.3,5.06,5.42
82.4,5.06,5.42
83.5,5.06,5.76
84.5,5.06,6.45
85.6,5.06,6.04
86.8,5.06,6.82
87.9,5.06,6.14
89.0,5.06,7.32
90.1,5.06,4.92
91.2,5.25,4.67
92.3,5.25,5.2
93.4,5.25,5.2
94.5,5.25,5.2
95.6,5.25,5.42
96.7,5.25,5.42
97.8,5.25,5.76
98.8,5.25,6.2
99.9,5.25,6.73
101.0,5.25,6.98
102.2,5.25,6.89
103.2,5.25,7.48
104.3,5.25,7.7
105.4,5.45,4.67
106.6,5.45,5.2
107.7,5.45,5.2
108.8,5.45,5.2
109.9,5.45,5.42
110.9,5.45,5.42
112.1,5.45,5.76
113.2,5.45,6.2
114.3,5.45,6.32
115.4,5.45,6.85
116.5,5.45,7.2
117.6,5.45,7.48
118.7,5.45,7.7
119.8,5.65,3.73
120.9,5.65,3.98
122.0,5.65,4.2
123.1,5.65,4.92
124.2,5.65,5.29
125.4,5.65,5.64
126.5,5.65,5.14
127.6,5.8,1.92
128.7,6.53,2.26
129.8,6.32,2.33
130.9,6.29,2.33
132.0,6.33,2.33
133.1,6.25,2.33
134.2,6.27,2.33
135.3,6.48,2.33
136.4,7.2,2.33
137.5,7.87,2.33
138.7,5.51,2.33
139.8,5.51,2.33
140.9,5.51,2.33
142.0,5.51,2.33
143.1,5.51,2.33
144.2,5.51,2.33
145.3,5.51,2.33
146.4,5.51,2.33
147.5,5.51,2.33
148.6,5.51,2.33
149.6,5.51,2.33
150.7,5.51,2.33
151.8,5.51,2.33
152.9,5.51,2.33
154.0,5.51,2.33
155.1,5.51,2.33
156.2,5.51,2.33
157.3,5.51,2.33
158.4,5.51,2.33
159.5,5.51,2.33
160.6,5.51,2.33
161.7,5.51,2.33
162.8,5.51,2.33
163.9,5.51,2.33
165.0,5.51,2.33
166.1,5.51,2.33
167.2,6.19,2.33
168.3,7.47,2.33
169.4,5.6,2.33
170.5,8.04,2.33
171.7,6.2,2.33
172.8,6.21,2.33
173.9,6.09,2.34
175.0,6.09,2.34
