# total_ram_gb=30.0
t,ram_gb,vram_gb
0.0,23.44,0.86
1.3,23.39,0.8
2.7,23.42,0.8
4.1,23.36,0.7
5.3,23.36,0.69
6.6,23.39,0.68
8.0,23.4,0.75
9.3,23.52,0.8
10.5,23.55,0.8
11.8,23.57,0.8
13.1,23.6,0.79
14.4,23.61,0.85
15.7,23.64,0.86
17.0,23.66,0.87
18.3,23.69,0.87
19.6,23.71,0.87
20.8,23.75,0.86
22.1,23.84,0.86
23.4,23.97,0.86
24.7,24.1,0.86
25.9,24.22,0.86
27.2,24.29,0.85
28.5,24.41,0.85
29.8,24.55,0.85
31.1,24.66,0.85
32.4,24.78,0.85
33.7,24.89,0.85
35.0,25.06,0.85
36.3,25.22,0.85
37.6,25.38,0.85
38.9,25.54,0.85
40.3,25.6,0.85
41.6,25.75,0.85
42.9,25.87,0.85
44.3,25.96,0.85
45.7,26.1,0.85
47.0,26.29,0.85
48.2,26.42,0.85
49.5,26.55,0.85
50.8,26.66,0.85
52.0,25.11,1.04
53.3,24.52,1.61
54.7,24.5,1.79
56.1,24.55,3.48
57.5,24.57,1.62
58.8,24.61,1.62
60.1,24.7,1.69
61.3,24.72,1.66
